"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"A1CF",-0.552603650030919,-0.0595856877674318
"ABCA10",-0.362614083362301,-0.271642841883521
"ABHD12",0.569231141358539,0.498625078666453
"ABHD2",0.208455459407413,0.496662079140246
"ABI1",0.374498482677614,0.634951098818701
"ABI2",0.465097062078065,0.741310870833987
"ABL2",0.135399445112472,0.585907357612567
"ACACA",-0.0162760134961296,-0.332630469318535
"ACBD3",0.451586886443471,0.782443866322065
"ACTB",0.162431314519988,0.765007246049836
"ACTN4",0.506803692615639,0.68112358788388
"ACYP1",-0.0226750194454325,-0.23657053349425
"ADAMTS9",0.677558934070188,0.50051091907209
"ADGRG1",-0.166209636209354,-0.509807837815458
"ADNP",0.232850432258933,0.750092467547042
"ADSL",-0.091999519045605,-0.178536683820411
"AFDN",0.515538768986047,0.18198173320305
"AGPAT2",0.68280157126621,0.359631200581959
"AGXT",-0.00966008847597348,-0.341020642948882
"AHCY",-0.248422154449307,-0.087512833666107
"AIDA",0.591430052320262,0.614086399055472
"AKAP9",0.659844124681682,0.595577762180588
"ALDH1A1",-0.0519591173540545,-0.647292494590807
"ALG5",-0.0103877586244132,-0.0106054164805157
"ALG9",-0.0166455787351059,-0.0614897469841795
"ALS2CL",0.278525639951208,0.459170007721439
"AMBP",0.476048467352356,0.705947857016747
"ANAPC11",-0.227732121146026,-0.591539539618775
"ANKRD27",-0.315365948739597,-0.207113727345535
"ANKRD49",0.0843878921220537,0.583152492567303
"ANO5",-0.456832551139855,-0.252581614571464
"ANO7",-0.286510872522087,-0.103447377322911
"ANPEP",-0.0283856777998948,-0.281944353686
"ANXA2",0.292537879028925,0.884172855109155
"ANXA5",0.120274767330291,0.81241930939327
"AP4M1",-0.0924797708364655,-0.369762064821605
"APOO",-0.172832967077995,-0.0916553029802102
"APRT",-0.22468577089974,-0.0527005673202535
"ARHGAP21",0.43994853132563,0.464250141191382
"ARHGAP29",0.353276260623439,0.679618115962731
"ARHGAP30",-0.399022069188615,-0.584641191793005
"ARHGDIB",-0.183709302168566,-0.341849550946919
"ARHGEF39",-0.172880197493376,-0.19121433139233
"ARL2",-0.0920087773338494,-0.169950965197933
"ARL3",-0.0142048999672565,-0.0753337013848137
"ARL8A",0.402805125537255,0.783041803459431
"ARPC1A",-0.218711308548784,-0.360144263950154
"ARPC4",0.769592041546888,0.389819410897155
"ARPP19",0.557152060069003,0.768513276331178
"ASL",-0.115693291371523,-0.218602358138753
"ASNS",0.5111362972505,0.770230380938823
"ATAD3B",-0.271330287018533,-0.257393970086973
"ATF3",0.702525037061265,0.305527126798844
"ATF4",0.205518337647153,0.789253008876522
"ATG13",0.527974164164564,0.501453736291499
"ATMIN",0.417267760791445,0.222262187958641
"ATP13A3",0.359419835146599,0.711938329600028
