"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"AAK1",0.346759870386238,0.939845955405312
"AAMP",-0.581078883332046,-0.333929607992692
"ACAP2",0.425725706806474,0.948530921440181
"ACTG1",-0.119149027383244,-0.950395090272758
"ADA2",-0.463229760759818,-0.69690276501856
"ADISSP",-0.347043562832923,-0.898857841995724
"ADNP",0.520731621212494,0.948978393149665
"AFF4",0.364879223917547,0.97477237923489
"AFTPH",0.474469601563057,0.976907825268673
"AGAP1",0.554432050159885,0.891601879574664
"AGGF1",0.666270875892255,0.890560665176387
"AHI1",0.612035788947957,0.972669411135505
"AK1",-0.711161122556565,-0.821335865795215
"AKAP11",0.714410288802947,0.927137563269968
"AKAP9",0.63862855343926,0.914202516063164
"AKR1B1",-0.00503040797851796,-0.932910908251712
"AKT3",0.682964292928783,0.711335862907404
"ALCAM",0.535886680377232,0.873758481109576
"ALDH7A1",-0.184853967278528,-0.834431979471605
"ALKBH7",-0.0687516359925556,-0.861216795423846
"ANAPC11",-0.640262795736153,-0.979642839805861
"ANAPC15",-0.762298700175207,-0.8604796384659
"ANKRD11",0.591545129313831,0.976868495055531
"ANKRD17",0.541659349822716,0.989960790010065
"ANTKMT",-0.255004414860198,-0.876735789907961
"AP1S1",-0.627924877595484,-0.929324551581008
"AP2S1",-0.454633773459851,-0.809880517827155
"AP3B1",0.526046770906325,0.902726399187341
"APBB2",0.694578216316908,0.911210096858593
"APC",0.595374087908003,0.966877599105923
"APOO",-0.570463738061084,-0.921108418382595
"APP",0.872246919797185,0.95433808937577
"APRT",-0.494931959922037,-0.966178456219853
"ARF5",-0.543393093986955,-0.504777132796558
"ARFGEF1",0.706608873905819,0.929312016161959
"ARFGEF3",0.93669632129923,0.949999241494311
"ARGLU1",0.455116768652471,0.9645470887756
"ARHGAP35",0.309992364482693,0.958600673558073
"ARHGAP5",0.656998425122101,0.969594685629108
"ARHGEF12",0.586055003266262,0.983722578453164
"ARIH1",0.556747422144493,0.983580898003059
"ARL2",-0.462461883194754,-0.857471963461286
"ARL3",-0.715648385761416,-0.967567966895975
"ARL5B",0.768098788027333,0.954244957312143
"ARMCX4",0.569704541273124,0.918708897283304
"ARPC2",-0.541040654492345,-0.970618886321496
"ARPC3",-0.15580911265395,-0.96610179518572
"ASCC3",0.511290723728227,0.794929677925732
"ASH1L",0.698104868863464,0.976893437595402
"ASXL2",0.612111914833187,0.918792280259144
"ATP13A1",-0.201955215445405,-0.708601515862287
"ATP13A3",0.61827060644972,0.960649367369055
"ATP5F1D",-0.393428772609402,-0.688975196525534
"ATP5MC1",-0.648523714517882,-0.946182659993852
"ATP5MC2",-0.779368225164965,-0.983874486738965
"ATP5MF",-0.937964123597261,-0.906578490271455
"ATP5MG",-0.860913371447238,-0.940063441576542
"ATP5PF",-0.860575272441488,-0.966552050122062
"ATP5PO",-0.209548494139644,-0.92054442409342
"ATP6V1G1",-0.808412177791142,-0.985850790898261
"ATP9A",0.604882986199677,0.79732255166576
"B9D1",-0.4656138258981,-0.918842419563956
"BANF1",-0.833772249626201,-0.934464224051954
"BAX",-0.823616897940005,-0.969035978166623
"BAZ2B",0.626448852672391,0.967218338091252
"BEX3",-0.686101182679183,-0.924556111965872
"BEX4",-0.618397723023635,-0.782784361780532
"BHLHE40",0.741495629186049,0.970340168107215
"BIRC6",0.652521415676587,0.977996526667149
"BLOC1S1",-0.874030446870767,-0.977867154287192
"BLOC1S6",0.276275036380098,0.960885121396509
"BLTP1",0.715753915676244,0.967947721369573
"BOD1L1",0.656241709943527,0.944740769261603
"BPTF",0.599037905993812,0.97082746814583
"BRK1",-0.351261309920532,-0.96334421629517
"BRWD1",0.573499019941254,0.951580930186525
"BTAF1",0.754630310291358,0.964527019342903
"BTG1",0.559478349190369,0.969973380791811
"BTN3A3",-0.774586995577053,-0.820416573636198
"C12orf75",-0.730271425382225,-0.969738205971757
"C15orf48",-0.772300424961214,-0.959182349613171
"C19orf53",-0.765614155090708,-0.95856755643992
"C1orf122",-0.230127258603063,-0.888501674104994
"C6orf62",0.703971241674082,0.947381056555028
"C7orf50",-0.724145661046371,-0.974508699300147
"CALM2",-0.810434640450254,-0.936837633622088
"CALM3",-0.631720390111531,-0.976347014275138
"CALY",-0.252566636787946,-0.670013916109176
"CAMTA1",-0.737259959434033,-0.9010622282658
"CANX",0.730647868698294,0.962885809212617
"CAPN7",0.56210867431996,0.968691881168436
"CAPZB",-0.339919090536142,-0.896896388182157
"CARHSP1",-0.810296569015833,-0.480875820437911
"CBX5",0.303470366102227,0.948023263479463
"CCAR1",0.331200772775601,0.956927624637749
"CCDC107",-0.307145379402094,-0.898292562346788
"CCDC124",-0.748487265623658,-0.943329203914471
"CCDC159",-0.255159962517044,-0.764234876264363
