"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"A1CF",-0.95378310098217,-0.675589233352074
"ABAT",-0.369858507850639,-0.479711131100762
"ABCC6",-0.505928214923893,-0.620035300232025
"ABCC8",-0.235660028122135,-0.929381587595842
"ABCD3",-0.515888453667667,-0.680977542583907
"ABCE1",0.781570437747215,0.933961090780989
"ABHD12",0.880000975300028,0.753666785245116
"ABHD14A",-0.425679852787862,-0.806776499862895
"ABHD2",0.665049655424806,0.923719973554743
"ACOT13",-0.538575468437964,-0.355464917513801
"ACRBP",-0.656121862922897,-0.30843022768748
"ACSF2",-0.433123410362255,-0.538269139633629
"ACSM3",-0.606319625906594,-0.441307214759504
"ADAP2",-0.469222507491769,-0.620359821415028
"ADI1",-0.508252241805593,-0.735698325078498
"ADM",0.883341372974306,0.961755329985356
"AFF4",0.496137669665337,0.916481024290727
"AGPAT2",-0.767656989232471,-0.779726745505487
"AGTRAP",-0.513072404183209,-0.556681865120494
"AIG1",-0.61146843727142,-0.43662996925866
"AKAP12",0.880312043222754,0.88240054827443
"AKR7A2",-0.814897816255562,-0.93836946466589
"AKR7A3",-0.341300222530064,-0.635866792994726
"ALCAM",0.979486158816342,0.841452004753648
"ALDH2",-0.714564968745929,-0.68072283623542
"ALDH4A1",-0.238144797772188,-0.359368804753236
"ALKBH5",0.686310928888041,0.934342440706403
"ALPK3",0.686668424811431,0.935690476304152
"ANAPC11",-0.417829418167703,-0.636708840357253
"ANKRD13C-DT",-0.13550178839577,-0.686664797999165
"ANKRD29",-0.299848731057208,-0.725151151926381
"ANXA2",0.975087920604254,0.967600470736374
"AOPEP",0.898936138755862,0.958595906186593
"APBB2",0.918113380774388,0.902186612673242
"APLP2",0.921998036910125,0.911972671431439
"APMAP",0.948950500913218,0.937099084434024
"APOO",-0.498278471550906,-0.252975820455487
"APP",0.952749889127797,0.887709511566685
"ARF1",0.909286918059629,0.924937174054625
"ARFGEF3",0.804191367535446,0.925348728313886
"ARFIP1",0.736672253974545,0.885542695169431
"ARHGAP29",0.766595995220003,0.907805431709469
"ARHGAP5",0.819393870180805,0.983226682514989
"ARHGEF10L",-0.770635155808778,-0.421108116123303
"ARHGEF26",-0.618464450719759,-0.308157018338284
"ARL3",-0.737583527040417,-0.252453289191463
"ARL4C",0.940626962642162,0.981254512450612
"ARSL",-0.728595584810056,-0.849343873084232
"ASAP1",0.902739886518595,0.947737887636584
"ASB8",0.750018854991204,0.91249925233863
"ASCL2",-0.94346458291728,-0.890740682700156
"ATF5",-0.630234042700838,-0.668368989716231
"ATP13A3",0.734765353235384,0.801760734056622
"ATP5MC2",-0.857187211559539,-0.787557171493452
"ATP6V1D",-0.689944305043047,-0.866889214440931
"ATP6V1G1",0.949410476983128,0.860555650344969
"ATXN1",0.811034722860772,0.902279124855283
"B3GALT2",-0.76023219975583,-0.317439978630333
"B3GAT1",-0.607739935111689,-0.0400221802247008
"B3GNT2",-0.610614395134176,-0.469979646018848
"BAX",-0.526786457172782,-0.212245771639155
"BAZ2A",0.842489250546427,0.837478606176832
"BBLN",-0.942678428925577,-0.829298568462611
"BBX",0.600722940934925,0.874547998006498
"BCL11A",-0.254734233931924,-0.454865357809811
"BHLHE40",0.919559303100924,0.869239534994254
"BICC1",-0.449790629561424,-0.240900326532719
"BLVRB",-0.772253928230713,-0.887866080150583
"BNIP2",0.811928186593617,0.956960718202913
"BNIP3",-0.8592468285157,-0.491228074902895
"BOLA3",-0.887396991707325,-0.517401989305915
"BTG1",0.877692423568751,0.871901117498478
"BTG3",0.946301584907067,0.945947959260754
"BZW2",0.93973845581353,0.899767752549027
"C12orf75",-0.973595147194443,-0.938219435951924
"C14orf132",0.824229755515557,0.803759834498878
"C15orf48",-0.939780186704589,-0.141515757774221
"C19orf73",-0.482037864394917,-0.399456388222933
"C1orf53",-0.720318036714963,-0.846308162516922
"C1QTNF4",-0.687706834561936,-0.843934875429845
"C2orf72",-0.35097005181169,-0.500126593851354
"C6orf62",0.861789095678211,0.791013154633471
"C7orf50",-0.785432363498456,-0.366805343938354
"CADM1",0.949577749162289,0.969325234267919
"CAMK2B",0.915753886302367,0.733061424481489
"CAMK2D",0.772941400078323,0.834585329722379
"CAMKV",-0.673570634329268,-0.670590202293096
"CANX",0.917102760799334,0.848991728550828
"CARHSP1",-0.922361018518554,-0.77026365216036
"CAVIN3",-0.661291652191807,-0.693554935812772
"CC2D2A",-0.00885056344723949,-0.750869464990609
"CCDC102B",-0.264424574789451,-0.52591439922389
"CCDC146",-0.471829877742246,-0.761121498803545
"CCDC158",-0.529174942636725,-0.265445832917816
"CCDC159",-0.475152566740173,-0.554334689089128
"CCDC167",-0.770900435025216,-0.604372530757784
"CCDC170",-0.394955177167785,-0.773033052112077
"CCDC181",0.876417433365593,0.930985934266944
"CCDC198",-0.789114147483984,-0.809707347507672
"CCDC28B",-0.51980388415719,-0.413407908094325
"CCDC47",0.793639844648868,0.896994560413365
"CCDC91",-0.157274750495796,-0.687551560705164
"CCKBR",-0.563359543252585,-0.317662330628035
"CCNT1",0.726303131336285,0.907985894393673
"CD200",-0.648171019181816,-0.613532683696408
"CD44",0.772909545959315,0.943196383200459
"CD47",0.900841132851021,0.748148390610043
"CD81",-0.203028421578748,-0.241502652838671
"CD82",-0.946235990592276,-0.808075018908836
"CDC42BPA",-0.697396808744427,-0.723941260986858
"CDCP1",0.94561426396322,0.922875249358037
"CDKN2C",0.798081328483141,0.778582359243571
"CEACAM1",-0.635490072185693,-0.520780206034238
"CEBPD",0.866759566430782,0.889750884190404
"CELF1",0.645541434415956,0.966790779861496
"CELF3",-0.59808349115353,-0.605509929052996
"CENPQ",-0.622499742094028,-0.0993185372374998
"CENPS",-0.180175108763989,-0.796187071907106
"CEP44",0.793924729864841,0.78473119549265
"CERK",0.890995536361643,0.899372704094689
"CETN2",-0.173074943438758,-0.202187784664015
"CFAP126",-0.675814262554938,-0.673338373643845
"CFAP144",-0.488841452536275,-0.631600534179916
"CFDP1",-0.791158736560069,-0.41350938436517
"CHAD",-0.359699884092128,-0.394203969843589
"CHCHD10",-0.402998699388832,-0.415958452426367
"CHD7",0.92463031388739,0.923050733510274
"CHGA",-0.844695348438897,-0.910605284131483
"CHODL",-0.631224305631929,-0.599780579765245
"CHPF",0.91526330336828,0.753009416241366
"CHPF2",0.848421129419577,0.942185627700393
"CHST9",-0.57159347807084,-0.655612426087556
"CIBAR2",-0.416670710999271,-0.831616946809293
"CIP2A",-0.621134259918612,-0.356399320727297
"CIRBP",0.929158005790851,0.922455247784268
"CISD1",-0.702038002027797,-0.160143125553064
"CISD2",-0.640563810909858,-0.33553471377465
"CLDN4",0.788842371813675,0.858887871352696
"CLN5",0.710314221472353,0.881465281871933
"CLSTN1",0.856426770113179,0.851057500941005
"CLTRN",-0.923873666977704,-0.861049877523915
"CLU",-0.979767527427408,-0.315115678270336
"CMBL",-0.181819082161398,-0.52332970570586
"CMC1",-0.587756542458786,-0.20955197475541
"CMC2",-0.896326328762789,-0.608169549840253
"CNBP",0.822552159422127,0.952409007734325
"CNFN",-0.566333261942213,-0.502800427504462
"CNIH2",-0.754634370163906,-0.868093622407042
"CNKSR2",0.930419989524097,0.733062557324097
"CNRIP1",0.873647656911404,0.826262108997947
"CNTN4",-0.597656874605909,-0.663939323923359
"CNTN5",0.946691419234712,0.823841487920172
"COA1",0.863013114445635,0.81524371129675
"COA3",-0.934504373544902,-0.889389969155463
"COA8",-0.747647092983778,-0.546220105585583
"COLCA1",-0.716964880767273,-0.521795881754834
"COMMD1",-0.303754940603644,-0.657376364957133
"COMMD10",-0.49590647157744,-0.678989964349418
"COMMD8",-0.356276009650365,-0.359727971527342
"COTL1",-0.431807138052624,-0.42153985278916
"CREBZF",0.716460647494337,0.936755490159936
"CRMP1",0.792128322757014,0.897752034975419
"CRYBG3",0.934676401449758,0.924137543994631
"CSDE1",0.633701755415164,0.910150248285058
"CSNK1A1",0.860135702755327,0.842067655840589
"CST3",-0.173191083984663,-0.456255927505896
"CTBS",0.860921638382723,0.860271977292877
"CTSL",0.944733217009017,0.867978600436758
"CTSV",-0.799098910118865,-0.499578284234788
"CXXC5",0.851185748276336,0.88057081142691
"CYS1",-0.722584467118669,-0.866742738656372
"CYSTM1",-0.939836188041536,-0.264747887034238
"DACH2",-0.739905947041658,-0.574242079157883
"DAPL1",-0.471990159398099,-0.590361276401538
"DARS1",0.822061537748785,0.815023736449741
"DCXR",-0.783015410133716,-0.774457517721346
"DDX17",0.869241567794782,0.80568448291819
"DDX3X",0.670526491476194,0.88478249560638
"DDX5",0.930002873007697,0.865592812793634
"DDX6",0.621130273101163,0.895491968315791
"DEGS2",-0.638218995827189,-0.339527856829926
"DEPP1",0.972720277336191,0.833600056520151
"DGCR2",0.892480983896496,0.883203999948947
"DGKB",0.945106805891094,0.779126047137981
"DGUOK",0.846475847181523,0.79600870002401
"DHDH",-0.444274610685631,-0.526401842653491
"DHRS2",-0.890172921312255,-0.755725278832901
"DHTKD1",-0.596078982489736,-0.538878289891583
"DIAPH2",-0.552535172313076,-0.521645052419051
"DIP2C",0.704319397943176,0.84979691270393
"DKK3",0.871268186692786,0.955312045941653
