"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"A4GALT",0.373588403381737,0.481882385794046
"AAMDC",-0.0944946219260298,-0.00750447132996409
"AASDH",-0.311752843860912,-0.0859695810037562
"ABAT",-0.2176445059291,-0.0803276317988375
"ABCD3",-0.0957250152832746,-0.44961898292486
"ABR",0.602771948244085,0.299121226671158
"ACVR1",0.540427379980763,0.684461704700534
"ADA2",-0.313580961060073,-0.374987322654607
"ADGRG5",-0.0340889270923347,-0.241461479676035
"AFF1",0.568361858177819,0.726065189833674
"AFF4",0.659852503644673,0.470336321319243
"AGO3",-0.156196755839156,-0.0141073075569973
"AGPAT4",-0.358134271799289,-0.36020546000919
"AHCY",-0.277726832300384,-0.0998914829583005
"AHNAK",-0.210567651357497,-0.0801659414435883
"AIDA",0.311869573654261,0.709052579598288
"AK5",-0.189048846021171,-0.252410931251142
"AK7",0.423290764179196,0.768207537921854
"AKAP13",0.27898628265278,0.381884976948881
"ALAS1",-0.301012166170193,-0.0729649394465422
"ALDH16A1",-0.188812053787855,-0.0248652380489439
"ALDH1B1",-0.329568541018554,-0.194123470565491
"ALDH1L2",-0.0750173123166413,-0.053281875786552
"ALDOA",0.907927514795697,0.253274960061238
"ALG11",0.334648522124765,0.499304749469272
"ALG2",0.444040811460247,0.585738667747863
"ALKBH5",0.354040465112896,0.44504039166551
"ALOX5AP",-0.400230151034792,-0.174210659241742
"AMDHD2",-0.13315277120913,-0.382018814230662
"AMN1",-0.102606809800344,-0.425588230289022
"AMPD2",0.464128762443582,0.572253679595911
"ANAPC11",-0.181385916707279,-0.33896570264917
"ANGEL1",-0.186574190702514,-0.161485583455743
"ANKRD13C-DT",-0.186288784756564,-0.144092407295177
"ANKRD33",-0.253787760055834,-0.0281836424013643
"ANKRD52",-0.168196796390798,-0.0701165193086529
"ANO6",0.437825658179255,0.444550231668896
"ANP32E",0.669413276484934,0.162976256573781
"ANXA5",0.63117193504204,0.882181121165209
"AP1AR",0.491917208599732,0.753911739603336
"APLP2",0.493074110723747,0.635568751518034
"APOL3",-0.106248539855495,-0.139738236375454
"APOO",-0.149772285705708,-0.0775803665783561
"APP",0.65514702750754,0.89375823553045
"APRT",-0.0646906036954849,-0.221587864363632
"ARF1",0.67866268310178,0.896306763434067
"ARHGAP12",-0.4037243339484,-0.465478004202581
"ARHGEF1",-0.179725026222358,-0.0977085795629473
"ARHGEF40",-0.181201799044227,-0.538907159873551
"ARK2N",0.388969676207962,0.365992807944996
"ARL15",-0.22532796993725,-0.21108114824733
"ARL4D",0.61957659914409,0.650147030303808
"ARL8A",0.547034712886504,0.741326584961974
"ARL8B",0.617849741690503,0.658222748785942
"ARMT1",-0.28622044316881,-0.198661553231306
"ARPIN",-0.207968863313903,-0.133979397229438
"ARRB2",-0.402337260186485,-0.396022147728622
"ARRDC1-AS1",-0.131091225089077,-0.131096605709088
"ASAP1",0.442420594621999,0.69108635738827
"ASB4",-0.148075318000774,-0.155177304438333
"ASB6",-0.253084004437645,-0.140465058344644
"ASCC1",-0.134097214071367,-0.0966939066598748
"ASIC1",-0.4661279431944,-0.25283891793187
"ASPDH",-0.302330085183823,-0.070134244713187
"ASTN1",0.372948370676898,0.363365345699285
"ATG12",0.463926391652389,0.715570910845284
"ATMIN",0.442359124459236,0.403521163072756
"ATP1A1",0.300282723372797,0.752782653592646
"ATP5F1B",0.403149787235884,0.444049152009918
"ATP5MC2",-0.218453798972519,-0.0213309759883032
"ATP6AP2",0.587375822630095,0.207991631831404
"ATP6V0D1",0.290797335854711,0.616934627668729
"ATP6V1F",0.352530445952996,0.797795629745808
"ATXN10",0.491954905982508,0.693058092421593
"ATXN7L3B",0.603078734524317,0.780503866855267
"AZI2",0.563714558997954,0.812184939165078
"B9D1",-0.245902010575886,-0.0917470514239254
"BCAR3",-0.0574203632460549,-0.205195806595656
"BCKDK",-0.0126648318006265,-0.256467694715617
"BCLAF1",0.740173319487817,0.512583962045876
"BCS1L",-0.0896001628752107,-0.141252650754429
"BDH2",-0.0521826182339208,-0.165355095624595
"BEX3",-0.697901012918453,-0.315527631187675
"BFAR",0.482073174092469,0.32811700888535
"BICD1",0.649572466716556,0.213258037128612
"BIK",-0.387120151989993,-0.170542731699531
"BLOC1S1",-0.729904240807615,-0.503853115362993
"BMERB1",0.27930481570117,0.743388471742179
"BMPR1A",-0.298318262288629,-0.0510471212484179
"BSG",0.446123857859499,0.456265656710604
"BZW2",0.494130555515746,0.365629067975723
"C15orf48",-0.197795387824188,-0.692550409124841
"C19orf73",-0.227410677595459,-0.184201440104096
"C1orf198",-0.012577890097837,-0.0734563342741711
"C4orf46",-0.123960132620235,-0.432840276535066
"C9orf85",0.681393792836535,0.241286418499687
"CACNA2D2",-0.489030216834953,-0.209349319796847
"CADM1",0.865276537845402,0.594919319810445
"CADM2",0.278819873782357,0.86792713800976
"CALB1",-0.273886176777068,-0.451516208477851
"CALR",0.590118273121665,0.446742677540912
"CALU",0.475864925663008,0.67636215055216
"CAMK1",-0.210789982660077,-0.335595649811225
"CAMK1D",0.719968599792424,0.315017136478948
"CAPN7",0.374503762596022,0.627629649868896
"CASTOR1",-0.249288019677701,-0.0393285908186333
"CAT",-0.0366824001259934,-0.479350540294413
"CCDC146",0.509273265240252,0.54465343326341
"CCDC34",-0.169498576223599,-0.197248628562001
"CCDC74B",-0.214712554999131,-0.220307762138423
"CCNF",-0.260047232740139,-0.0456697374278278
"CD320",0.207897736545845,0.320588067662859
"CD46",0.497825749266628,0.605595741163419
"CD81",0.435632004129023,0.596501450118412
"CDADC1",0.656192676042875,0.61952457697588
"CDH19",0.219549575182934,0.634624823945128
"CDK12",0.590960149893646,0.467087685647297
"CDS2",0.487076976799179,0.613943858467434
"CEBPD",0.525984243727293,0.713375362275255
"CENPB",0.402605671460131,0.817280685250762
"CFAP410",0.487442202640486,0.13878408122404
"CHAC2",-0.1322773088365,-0.389044375608844
"CHCHD1",-0.179245013090979,-0.253758715645775
"CHCHD5",-0.228906631207432,-0.20105215361834
"CHD1L",0.658061846827434,0.386370923696532
"CHGA",0.715319687689902,0.357697438396719
"CHGB",0.0529132228367975,0.869197847893521
"CHKA",0.564594695273843,0.700768118982494
"CHKB-DT",-0.281559901634703,-0.251043768640896
"CHMP2B",0.717101938390057,0.506923249747948
"CHODL",-0.225539740051862,-0.0897313834394502
"CHPF2",0.505877446712384,0.495723923818717
"CHST8",0.148530738538185,0.65601034122569
"CHURC1",0.663222749448356,0.705614812966509
"CIB1",0.835622133639709,0.215630033893304
"CIMIP2C",-0.285026911556142,-0.0253321600150358
"CISD1",-0.318829751426802,-0.165787689589589
"CISD3",-0.146388966907768,-0.119399471636649
"CKS1B",-0.296289371893876,-0.31370755649728
"CLDND2",-0.203037473328156,-0.498526744343253
"CLINT1",0.640106019729698,0.699614441695353
"CLMN",-0.047848508412653,-0.193917862810476
"CLU",0.289096145728452,0.947030957219133
"CMAS",0.714771791598112,0.147883772096548
"CNFN",-0.052570111305452,-0.42366958317124
"CNNM4",-0.393404989024614,-0.235412897199125
"CNPY3",-0.157411689848837,-0.0387038807456181
"CNTRL",0.527992552396587,0.701160333960038
"COA6",-0.116013389569918,-0.369347815186778
"COL14A1",-0.225783139184737,-0.195006931363291
"COL6A1",0.460716060039514,0.590152413689352
"COMMD1",-0.220124047630787,-0.0454161075587007
"COMMD10",-0.076300761644347,-0.43400166274219
"COPA",0.448513782460839,0.665979835168313
"CORO1B",-0.0193394161474558,-0.33412454310547
"COX5A",-0.208765775364022,-0.17012636535623
"COX7B",-0.595741328661285,-0.223391905315887
"CPE",0.548432061947052,0.795742881844537
"CPSF1",0.536534418523018,0.15073714430051
"CRELD2",0.415207601902975,0.398462892779913
"CRH",-0.695757577145941,-0.226895377247472
"CRTC1",-0.404018413502305,-0.0241005275970029
"CRYM",-0.205005776786007,-0.458188571846737
"CSNK1A1",0.845208257248187,0.676265205154071
"CTBS",0.516545122891994,0.805984103100974
"CTC1",-0.045282758153583,-0.17125055572166
"CTSD",0.356185438839957,0.656584695435085
