"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"A4GALT",-0.223753152619356,-0.886409356703751
"AAK1",0.183458033080488,0.844826044983151
"ABHD2",0.21081515445511,0.946066144607055
"ABHD8",-0.155375289930847,-0.477650373491947
"ABLIM1",0.616640522028007,0.667057633004793
"ACAP2",0.462162890365134,0.609034213541893
"ACIN1",0.201959350058434,0.899955822231923
"ACTA1",-0.136409622891794,-0.35185443076286
"ACTN4",0.513405105060035,0.860956816781889
"ACY3",-0.301381787614837,-0.426958768535175
"ADNP",0.463282253687421,0.820743718044574
"ADRA2B",-0.383106816647116,-0.231632551157706
"AFF1",0.183509774489296,0.863068169128122
"AFTPH",0.521376780398994,0.898135761692636
"AGGF1",0.340215768135927,0.749661885264444
"AHI1",0.34548988309413,0.613526316105285
"AK1",-0.0275955066399021,-0.851430850068912
"AK2",-0.639907744161214,-0.280271174633689
"AKAP9",0.683272933659455,0.338654839718403
"AKIRIN2",-0.153796997687735,-0.513448367100739
"AKR1A1",-0.0794212932557586,-0.87801095767466
"ALG2",-0.0854209263142793,-0.308171254088401
"AMOTL2",0.544899155689835,0.84089522847829
"ANKRD1",0.860980561582645,0.0366502319186472
"ANKRD11",0.802133353766924,0.72930714326908
"ANKRD13A",0.376333088711563,0.747583245834035
"ANKRD17",0.516068687371778,0.828051852166671
"AP1M2",-0.202630306038325,-0.818891170690078
"AP2B1",0.320766076878484,0.953149681880759
"AP2S1",-0.264344823888624,-0.811871331286946
"APIP",-0.248026408639235,-0.538339340848731
"APPL1",0.688553450170153,0.818326248402734
"ARF5",-0.549299913848189,-0.974357053137214
"ARF6",0.375215302097062,0.705977061916136
"ARHGAP5",0.475392941238294,0.929899359032368
"ARHGEF12",0.626569148808255,0.787271475102732
"ARHGEF35",-0.249056818816595,-0.543623610355531
"ARIH1",0.610906278513768,0.726938830376268
"ARPC3",-0.733766812146512,-0.940230690239296
"ASH1L",0.783094179230472,0.884968692404917
"ASRGL1",-0.373222644158861,-0.812184806245106
"ASS1",-0.194254542599817,-0.743028484317415
"ASTN2",-0.196096619501341,-0.492058660752526
"ASXL2",0.899818832887032,0.765519595946343
"ATAD1",0.593750285572498,0.861184666165788
"ATP13A3-DT",-0.17639575659439,-0.403603123574988
"ATP6V0C",-0.175496715409339,-0.285114873009667
"ATP6V1F",-0.341961039899377,-0.885887787241391
"ATP6V1G1",-0.675526458057012,-0.666565425635727
"ATRX",0.632514535080441,0.287608339701051
"ATXN2L",0.385249681663445,0.773453656192409
"AVEN",-0.136713175078426,-0.4078902731523
"B2M",-0.947418822304337,-0.969570666212456
"B3GAT3",-0.0137248689064222,-0.545834245752569
"BBC3",-0.572849451099061,-0.763309134688559
"BBLN",-0.79005273218374,-0.917160390755531
"BCL2L15",-0.657475541172367,-0.60376846434912
"BCL9L",0.577164485809365,0.896488955821112
"BHLHE40",0.191747951311503,0.73045744661045
"BHLHE41",0.0176159057591302,0.910606557658036
"BID",-0.620120779033064,-0.857952198177747
"BIK",-0.167950163251846,-0.346272662072019
"BIRC2",0.541016812778835,0.923061900292858
"BIRC6",0.598607358527894,0.79272436202591
"BLTP1",0.698459324808438,0.775575655954634
"BMS1",0.764906255574382,0.575017927022398
"BORCS8",-0.409587868531819,-0.497538642291472
"BPTF",0.616646266259202,0.858365355325654
"BRD4",0.434870197194509,0.900355999945962
"BTN3A3",-0.204978170838257,-0.0963137414519027
"C15orf48",-0.86733229320897,-0.715739561802477
"C19orf53",-0.618424838636848,-0.916843787091491
"C1orf56",-0.168153759901606,-0.573281500768079
"C2orf49",0.460285122858549,0.855909714687755
"C4orf36",-0.463476303750929,-0.362020946092493
"CA8",-0.520170547500613,-0.278357039140435
"CAMSAP1",0.613446600611174,0.771578801488509
"CANX",0.671049111181303,0.924522500194914
"CAPN10",-0.302219085893662,-0.296439742657345
"CAVIN1",0.792542709088654,0.926095982439087
"CBX5",0.416262513478945,0.846406301307972
"CCAR1",0.624326346034547,0.485743010028238
"CCDC47",0.602261525551911,0.891468602535208
"CCL2",-0.884342222209413,-0.73784637208746
"CCL20",-0.888007425964005,-0.0842048058275618
"CCL28",-0.755115863106962,-0.797808014722657
"CCNA1",-0.373183100969134,-0.576625913364898
"CCNQ",-0.0450130656024222,-0.702252499761788
"CCNT2",0.203271753763457,0.772027081652856
"CCNY",0.388067975257049,0.859278451415285
"CCSER2",0.607180882868729,0.706393906540829
"CD40",-0.15756323832967,-0.836827810264522
"CD44",-0.650658613823173,-0.797494321209063
"CD47",-0.3612139962577,-0.748460181313571
"CD59",-0.345215746436866,-0.900355946320189
"CD63",-0.695475339179517,-0.863225963653744
"CD82",-0.143551352155893,-0.44054519694063
"CDC42BPA",0.275585576113895,0.541108834913183
"CDC73",0.617766521651287,0.850437038433569
"CDK2AP1",0.642090097013685,0.558106486865244
"CDK2AP2",-0.252891356433321,-0.573493674302613
"CDYL",0.492474562100767,0.885537755418691
"CEBPZ",0.449211426142045,0.795658696784263
"CELF1",0.542578257901016,0.859442104135076
"CENPW",-0.520574667593246,-0.683203924426832
"CENPX",-0.0561239490105742,-0.529212839478782
"CEP162",0.440329599114847,0.692259142672939
"CEP350",0.760905951740623,0.839859483687223
"CEP72",-0.173577591492234,-0.345314000173816
"CEP95",0.357315292639028,0.661602483677259
"CFAP97",0.378290167386344,0.90623392693082
"CFLAR",-0.101154339600956,-0.251639700775594
"CHCHD2",-0.530773752077346,-0.552125089068666
"CHD4",0.631083956204406,0.883099792281382
"CHD7",0.366533074404991,0.736009959699129
"CHD8",0.359249605675008,0.79934930439539
"CHD9",0.511062390586236,0.621942374635147
"CHKA",0.411602215238452,0.838401200566791
"CHKB-DT",-0.227245612942753,-0.228422561467891
"CHMP2A",-0.162436469971985,-0.796705753855076
"CHST2",-0.373846716270298,-0.0549905357705897
"CIAO2B",-0.251094170898211,-0.484008604187855
"CIB1",-0.119268279029167,-0.878284093419952
