"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"AAK1",0.403301560772119,0.178069379964937
"ABI1",0.436459403897034,0.290962893767463
"ACADSB",0.531549091840806,0.0417236304977825
"ACBD3",0.367672204763258,0.24439886330246
"ACTB",-0.570585595067088,-0.359165302833958
"ACTR10",-0.519240120455848,-0.0544907416842592
"ADAMTS10",0.373858509315359,0.205805225301844
"AEBP2",0.353651637236678,0.0362680144707056
"AFTPH",-0.376097550630124,-0.492858467468726
"AGPS",0.216090333551335,0.159773357357625
"AHCTF1",0.391508333978443,0.0995588615592574
"AHCYL1",0.254188131179834,0.357224226694513
"AK2",-0.0287214876373616,-0.18346276046532
"AKAP12",0.428411052069088,0.304725318148815
"AKR1C2",0.371124996771704,0.021316453302271
"AKT2",0.244868581114253,0.220764816829859
"AKT3",0.412518470349505,0.158164705481279
"ALMS1",0.404399322640943,0.0908613539729356
"AMY2B",0.200217350985677,0.575236451068178
"ANAPC11",-0.365568807920125,-0.467642708576111
"ANAPC15",-0.164222145127479,-0.11208935537878
"ANKRD36",0.268694170486286,0.493409225719692
"ANKRD44",0.30367821917392,0.0352356617165458
"ANXA11",-0.294867970329083,-0.319417830947102
"AP2A1",0.163225761495622,0.335781217565181
"AP2A2",-0.414195419942286,-0.337916586702482
"AP2B1",0.0258059713170061,0.234868280445618
"AP2M1",-0.159451425628267,-0.605740931841476
"AP2S1",-0.509311730699714,-0.402241336428555
"AP3D1",0.23375866056615,0.198613594250154
"AP5Z1",0.113479307900391,0.489169665730097
"APBB2",0.258135065549909,0.185863035019305
"APEH",-0.362151418051029,-0.0238621658562768
"APOBEC3G",0.458592847969848,0.0595115881250421
"APPBP2",0.339872157779732,0.259098982833465
"ARF6",-0.248654335955532,-0.100829382104136
"ARFIP2",0.337418167233753,0.0205137112984359
"ARHGAP5",0.553740844943904,0.247576355717281
"ARHGDIB",-0.157293475735997,-0.369947396359893
"ARHGEF2",0.104665551717753,0.233225812068588
"ARID3A",0.510158761068866,0.0696472092244661
"ARL2",-0.401187168496361,-0.57741561368578
"ARMC5",-0.55327786208284,-0.296271492635352
"ARMCX3",0.259666662370636,0.144144991231312
"ARPC1B",-0.250267205115715,-0.0483618109540234
"ARPC2",-0.567622827836984,-0.616539532233161
"ARRDC3",0.263582701846451,0.544840412617424
"ASRGL1",-0.475673014569005,-0.569757729752514
"ATAD5",0.353996858821684,0.0773482821151823
"ATG101",-0.218820515473057,-0.199650101529744
"ATG14",0.175447481127934,0.365123266323859
"ATP11C",0.568548634073564,0.151421614694988
"ATP2A2",0.0835429295096261,0.15670201873956
"ATP5MC2",-0.10874366751755,-0.111881675160689
"ATP5MC3",-0.309435135503354,-0.121657669682826
"ATP5ME",0.0413313381504531,0.461399513817027
"ATP5MG",-0.121115517174961,-0.637446150661851
"ATP5PB",-0.362115944868009,-0.54663043469378
"ATP5PF",-0.402408347883916,-0.29809317950523
"ATP5PO",-0.173657596853903,-0.505086765200049
"ATP6V0B",-0.317856343139857,-0.0357556425814807
"ATP6V0E1",-0.051651050738101,-0.158211185194855
"ATP6V1F",-0.257266108634461,-0.224582669440036
"ATP6V1G1",-0.107074121088429,-0.517361124775458
"ATPAF2",-0.36312533845442,-0.228763612073296
"ATRX",0.558981807572397,0.317857167307547
"B2M",-0.854795306032792,-0.336338737271729
"BAG4",-0.212976079449211,-0.383081126026563
"BAIAP2-DT",-0.36342663995505,-0.297746434653443
"BAZ1A",0.337209810390789,0.210061115897998
"BAZ1B",0.402938825459395,0.212431192816301
"BBX",0.438039687445291,0.132570244783238
"BCAR1",-0.220391361241791,-0.49322705207624
"BCL3",0.00727966920612684,0.580969448077722
"BEND5",-0.363029316100234,-0.406302207698496
"BEX3",-0.397709714499002,-0.212404866569232
"BLOC1S2",-0.600112093995119,-0.457548112662891
"BORCS7",-0.293585325794563,-0.562411125621111
"BRK1",-0.532102123785951,-0.709652295282448
"BRWD3",0.191999651084128,0.265794910902963
"BTBD9",0.294351750588729,0.297551144076963
