"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"AADAT",0.238921108026688,0.594284534494463
"AAGAB",-0.577811735269341,-0.490931262152199
"AAMP",0.189832961037334,0.726264403510547
"ABAT",0.321090352144176,0.495911116246765
"ABHD8",-0.362806068296229,-0.602918083067316
"ACOT4",0.390673644319815,0.577944539962381
"ACOT7",0.438760956942213,0.585027370079663
"ACTN1",0.385604839237564,0.395088062128539
"ACTR6",0.880403301353891,0.281614110608038
"ADAM22",0.596011894305028,0.215972080420728
"ADAMTSL2",0.700097132989178,0.343163030457863
"AEBP2",0.466481778133379,0.320286331686395
"AGL",0.231884043680161,0.344732983394642
"AGXT",0.593136788464624,0.152746216898234
"AK7",0.50216189115199,0.551220606233495
"AKAP11",0.421822904137192,0.401950514397744
"AKAP12",0.0258259383916196,0.636824308569704
"AKAP8L",-0.252821380738206,-0.283865193082733
"AKT3",0.445486459331492,0.231071293872743
"ALCAM",0.508684732427558,0.180245887021903
"ALG10",-0.277105906571476,-0.304892147185336
"ALG5",-0.561791040873299,-0.602170843569272
"ALKBH1",-0.244625864362606,-0.323420912318329
"ANGPTL3",0.8240070420454,0.449809995142032
"ANK3",0.475543619018331,0.657509280184075
"ANKH",0.433186933697603,0.433218087498735
"ANKRD65",-0.283026205447286,-0.369068844033349
"ANKRD9",-0.626849189953242,-0.312128969333275
"APEX1",-0.369768185645309,-0.35073332084548
"APLP2",0.31321068998973,0.620115122858821
"APOL2",-0.468671723524188,-0.122242529635444
"ARF5",-0.244846079714382,-0.683900310542561
"ARFGEF3",0.556727022096155,0.676366779865152
"ARHGAP45",-0.313818274507068,-0.296152943111536
"ARID1B",0.258067383991003,0.568039311939863
"ARL6IP4",-0.123026210631027,-0.365985476976537
"ATF5",0.55521510946588,0.49096252527669
"ATF7IP",0.618003492578655,0.190907294240747
"ATG4D",-0.471894121452321,-0.484592448044981
"ATP5F1E",0.542914658269989,0.291819185423897
"ATP6V0C",-0.681630916156791,-0.0191475353837472
"ATP6V0D1",-0.311882081854137,-0.156234346331952
