"","DropSeq T2D status (All)","PANCDB T2D status (All)"
"AAK1",0.655053389824881,0.830909811883335
"AAMDC",-0.764370218929827,-0.746587172110561
"ABCC4",0.50913355644213,0.74577848624557
"ACBD3",0.667401912551155,0.903717783451042
"ACIN1",0.617767307776399,0.805030178269145
"ACOT13",-0.773164268597162,-0.383384255518956
"ACP5",-0.891601582422859,-0.400731054986454
"ACSL4",0.827132386789048,0.772397212195106
"ADGRF5",-0.890852807350323,-0.702760540145109
"ADIRF",-0.750693346732499,-0.0399166816978065
"ADNP",0.55775199160712,0.730069127818035
"AFDN",0.79402607679137,0.750633530919926
"AGPS",0.559663019489948,0.652542333602897
"AGXT",-0.792947972401401,-0.348219859005211
"AHCYL1",0.912336239193379,0.795584178575706
"AKAP9",0.751908092478181,0.653546365820559
"AKR1B1",-0.775426495065794,-0.452401088856378
"AKR1C3",-0.76439678950457,-0.662125190557957
"ALDH18A1",0.739489961543643,0.634832565594674
"ALDH1A1",-0.763126535044147,-0.639771308493638
"ALDH1L2",0.572121497574182,0.632512300560238
"ALKAL2",0.751007290233912,0.798725156622022
"ALKBH7",-0.679378409138973,-0.796180739438795
"AMPD2",0.702350537780057,0.570216611636394
"ANAPC13",-0.732130324954999,-0.545806227680619
"ANAPC16",-0.876452121474047,-0.448073858623809
"ANGPTL2",-0.659200789914246,-0.844857719146092
"ANKRD11",0.695030092520065,0.615770910239378
"ANXA11",-0.803979975952627,-0.818004536750582
"ANXA2",0.884553734629665,0.855604075872517
"ANXA7",-0.647136159980009,-0.251315884913619
"AP2B1",0.207212940251598,0.885007574773126
"AP2S1",-0.364933517944536,-0.828210523813094
"AP3B1",0.735706491953136,0.642763264564844
"AP3D1",0.328288049632478,0.624661070340878
"AP3S1",-0.488703313627743,-0.570819956816518
"APH1B",-0.766635186103922,-0.710434862065912
"APOC1",-0.657807069054467,-0.607163152034993
"APOE",-0.954889728917541,-0.715103833345064
"APOL3",-0.733071633819005,-0.53493891960292
"APPL1",0.44724902471393,0.846137936381886
"ARCN1",0.568790587534743,0.808535125376372
"ARF5",-0.336412109601127,-0.903312698928582
"ARHGAP24",-0.621505318623835,-0.652290396741903
"ARHGAP42",-0.74884923143106,-0.289313024125399
"ARHGDIB",-0.897604869919761,-0.818825021390318
"ARHGEF17",-0.581995659917971,-0.534112717283153
"ARID5A",-0.356500285218862,-0.706538569427845
"ARK2C",0.556840268881655,0.717268607065127
"ARL2",-0.889983315925132,-0.828109958604848
"ARL4C",0.792342329684056,0.864382144648159
"ARL6IP6",-0.52458053139207,-0.281943900412833
"ARPC3",-0.65962052306902,-0.651593217451868
"ASAH1",-0.953833941420945,-0.878263144513532
"ASH1L",0.716361494816679,0.671934368134135
"ASNS",0.464975688568701,0.775788462028528
"ATP2A2",0.520719471082619,0.808870244964147
"ATP5PO",-0.894724902279409,-0.786446171312461
"ATP6V0E1",-0.800840766795418,-0.818473889233918
"ATRAID",-0.636620557028209,-0.892941721130835
"ATRX",0.701168627712049,0.729534659134902
"AURKAIP1",-0.516935989982803,-0.664970711846831
"B2M",-0.958268593447255,-0.899173640499245
"B4GALT2",0.623703213082781,0.637355191640864
"BBLN",-0.636952668878802,-0.796214020567731
"BCLAF1",0.5857498889462,0.819967937733613
"BDKRB2",0.741308547235922,0.577975579049755
"BEND5",0.873100322361556,0.373195742988864
"BHLHE41",0.460842043777217,0.945112612000101
"BLOC1S6",0.524026738263559,0.803656111627886
"BLVRB",-0.909467801475978,-0.385846490313711
"BOD1L1",0.664562057948485,0.659198915595087
"BPNT2",0.839903767839486,0.834653057964038
"BPTF",0.641744841671447,0.541378013214545
"BRWD3",0.551314519553627,0.614234557203136
"BST2",-0.764407148029012,-0.822132937580024
"C12orf57",-0.689051773617214,-0.838372185643585
"C14orf119",-0.676271942880797,-0.450552488077369
"C1orf43",-0.814542092800797,-0.687812652277174
"C4orf33",-0.382504562278405,-0.487711102664433
"C6orf226",-0.550821695567325,-0.567405577955366
"C6orf62",0.41807314006351,0.684055542460983
"CADM1",-0.876151307562313,-0.749348576852408
"CALHM2",-0.750150893530985,-0.558342742314175
"CALU",0.949433994400775,0.82276545094286
"CAMK2N1",-0.615314830508577,-0.849937154725319
"CAMSAP2",0.720367620078014,0.81442397341366
"CASK",0.879196746078859,0.780894205303674
"CAV1",-0.86909157573443,-0.8765155534597
"CBFB",0.683770396432001,0.703006765585789
"CBX1",0.46453301631735,0.783673121213225
"CCDC102B",-0.831770900504807,-0.708902534652694
"CCDC107",-0.274668177749311,-0.63322755859864
"CCDC3",-0.648123917648211,-0.323044971818428
"CCDC71L",0.679486240596186,0.632917238595646
"CCDC74A",-0.195041975646619,-0.822193975762049
"CCDC85B",-0.817619694007035,-0.728921418616728
"CCL20",-0.693883925308316,-0.31477062876971
"CCNH",-0.502124134146776,-0.474355193933326
"CD2AP",0.636786517027945,0.648413231320163
"CD36",-0.74440913980706,-0.28641281468887
"CD40",-0.798973375112816,-0.385717393845392
"CD63",-0.608393023902541,-0.957777895374908
"CD9",-0.613010803490206,-0.746169437402882
"CDH11",0.774879614543479,0.535476510922292
"CDIPT",-0.756717882792387,-0.457621416389021
"CDK14",0.754645410704942,0.57186864629165
"CDK2AP1",0.862378222398215,0.325419292172144
"CELA3B",0.390064566262138,0.858718396699617
"CENPP",-0.734321463305335,-0.604615811451431
"CEP290",0.344058129805588,0.775223171957255
"CEP350",0.708025615489001,0.742825706947303
"CERS6",0.639824971474756,0.53059876815598
"CHCHD5",-0.803468936230795,-0.632872355779317
"CHD4",0.69065793450445,0.73805837008821
"CHMP2A",-0.634423864469328,-0.616100301954392
"CHST2",-0.240153139476098,-0.733417771879989
"CKAP4",0.847523794676648,0.732816164277352
"CKAP5",0.649276770406427,0.736486723367657
"CLEC2B",-0.822315135116674,-0.72299383862846
"CLMP",0.813746664581369,0.934932894262415
"CLTA",-0.837488687624959,-0.789059170029141
"CLTC",0.712417860424407,0.908354288755226
"CLU",0.911126185823686,0.945104455445212
"CNBP",-0.670157043905212,-0.574283263919094
"COA1",-0.519356340358559,-0.811258077294626
"COA7",-0.523336231248867,-0.532620555187664
"COBLL1",-0.730307450018919,-0.438728368882753
"COL27A1",0.75044990417491,0.40754646903428
"COL7A1",0.860682068526211,0.00304396067346867
"COPB1",0.612708992280876,0.876314391340284
"COPG1",0.499470280577673,0.836509129833713
"COTL1",0.746101428643584,0.718843726309977
"COX14",-0.826540534761513,-0.610861282309366
"COX4I1",-0.895772350122912,-0.92203168913811
"COX7A1",-0.890649625686113,-0.774423587565155
"COX7A2L",-0.468448694084861,-0.800112429673451
"CPA1",0.551714556444989,0.905137859897949
"CPE",-0.75052434785087,-0.799664231575777
"CRLS1",0.545220983889497,0.67092223198337
"CRTAP",-0.603915388580711,-0.546378655545892
"CSDE1",0.472386061761701,0.671467242029054
"CSF3",-0.690579518246692,-0.530447209602648
"CSNK1A1",0.779858898821046,0.772804978724614
"CST3",-0.313700023605278,-0.84616758472277
"CTNS",-0.557453688763311,-0.481774751124473
"CTRB2",0.581712237178819,0.934826784494315
"CTSA",-0.665384601775116,-0.76846406753983
"CTSD",-0.95689742902517,-0.645931114064604
"CTSK",-0.478397537794156,-0.814511245679034
"CUTC",-0.695877591086717,-0.678434509436854
"CXCL1",-0.650207919932606,-0.406970664928308
"CXCL2",-0.819644891214076,-0.367933136276783
"CXCL8",-0.787551725333967,-0.606653633844383
"CXCR4",-0.310835067704567,-0.599135866597493
"CYB5A",-0.732707639391657,-0.773564698943223
"CYSTM1",-0.926303746332328,-0.848535910888203
"DACT1",0.816723255971792,0.540868025630689
"DAZAP2",-0.686449715707175,-0.647745682657066
"DBN1",0.80143320733587,0.737993797447577
"DCTN4",0.216952615781748,0.896239905124491
"DDIT4",0.856927161671274,0.306323392065548
"DDX17",0.835914386119271,0.748209918505857
"DDX3Y",0.402586795398326,0.826454345082208
"DEPP1",-0.519048169399057,-0.674117839162164
"DERL3",-0.509618793341724,-0.67048018284392
"DGCR6L",-0.347069672225475,-0.797860367894424
"DHX29",0.60633171467373,0.575836443320937
"DHX33",0.566294929248345,0.761619006664245
"DHX36",0.455806678305778,0.809430718487596
"DICER1",0.743178023964179,0.728602427111937
"DIP2C",0.555242912623074,0.751527864606674
"DIRC3",0.819188124126713,0.351345959615695
"DKK3",-0.882105305606972,-0.861451691361641
"DNASE2",-0.519766623305971,-0.691960276012013
"DNPH1",-0.837496858674673,-0.444149875257066
"DPP7",-0.384032022282188,-0.688421695951481
"DPY19L3",0.363088439857829,0.605120544861818
"DST",0.875407072946239,0.665105351247345
"DUSP5",0.772623180533114,0.851385922027783
"DUT",-0.326275395021535,-0.701444011411902
"DYNC1H1",0.726332372324275,0.510504003660595
"DYNLRB1",-0.878680985211857,-0.481148463995755
"EBF1",-0.895770221277441,-0.24567323850888
"ECH1",-0.651188653547125,-0.472163484530128
"EEA1",0.571131186734852,0.722546777619154
"EEF1D",-0.640051892786673,-0.916981141197445
"EFHD1",-0.819516053649216,-0.777323813397619
"EGFL7",-0.699814867708164,-0.465890617923401
"EIF1",-0.944282414207955,-0.718441343616408
"EIF1B",-0.860285807223942,-0.357010202755519
"EIF3B",0.675301118622082,0.775627224488038
"EIF3E",-0.760835253902066,-0.745970210953042
"EIF3F",-0.751382309526297,-0.647085149063903
"EIF3K",-0.779076188749678,-0.640972507698118
"EIF4G3",0.728471638374425,0.591405867678691
"EIF5B",0.561956620038644,0.933399013012441
"EIF6",0.890151019081176,0.343176986356753
"ELK3",0.730983972166781,0.640259264139804
"EMC1",0.680659448023303,0.692126771414707
"EMILIN1",0.879879170107854,0.399800207772065
"EML1",0.732178024979302,0.575310783595695
"ENAH",0.879757299324711,0.564902848605864
"ENO1",0.935250508475891,0.855493133801492
"EP300",0.692278516106779,0.715960578866943
"EPAS1",-0.870932247890882,-0.771652673901096
"EPHX1",-0.501999703716412,-0.774991063036985
"EPRS1",0.725548763713564,0.792903517446133
"EPS8",-0.910221812194788,-0.865042595825999
"ERC1",0.68263264102256,0.629429840732325
"ERGIC1",0.756493778536768,0.750825774611983
"ERLEC1",0.496932700443693,0.565253285213181
"ERP29",-0.844855497129119,-0.776034431402711
"ESAM",-0.803868935885765,-0.566482042381853
"ESCO1",0.676719770864183,0.671492636231697
"ESD",-0.737150541414659,-0.603312575844596
"EVL",0.875766476217424,0.468354544319824
"EZR",-0.754523455162059,-0.425550036214949
"FAM120A",0.669143280508301,0.610018103840768
"FAM168A",0.627811987649215,0.712282899902485
"FASN",0.588001156183849,0.518842312306083
"FBXW5",-0.525183241412056,-0.578782048219468
"FCGRT",-0.531456331334492,-0.700786655320423
"FGFR1",0.608607548116642,0.969640427916661
"FHL2",0.855498138402854,0.577292974903781
"FILIP1",-0.766716571251922,-0.51438227435151
"FILIP1L",-0.827790846595548,-0.0695542573880689
"FIS1",-0.478337387607421,-0.793782310734117
"FKBP14",0.764111835605631,0.82581969483033
"FKBP8",-0.382336953649598,-0.773668935071358
"FLNC",0.853377653733524,0.642815738950703
"FNBP4",0.610937996167918,0.446961648736699
"FNDC3B",0.785648761944879,0.405310440767252
"FRZB",-0.197969756569989,-0.885547275557436
"FSCN1",0.898499790661568,0.218590235432226
"FTH1",-0.978887920986868,-0.81648129659811
"FTL",-0.989319669890986,-0.817092983612015
"G0S2",-0.88697074832348,-0.734774459796557
"GABARAPL2",-0.781978951510044,-0.694572431736867
"GADD45A",-0.916220060441885,-0.336699062762952
"GALNT1",0.752573142516191,0.688924113017719
"GARS1",0.589786243438901,0.90400550176543
"GAS7",0.918595558252161,0.102346376429002
"GCH1",-0.540420125551429,-0.5555763194733
"GDF15",-0.903911819294669,-0.475997835803042
"GIGYF2",0.617911365517213,0.703767497186071
"GJA1",0.918016565576643,0.806116900759353
"GLIS3",0.885718597950464,0.582025976668934
"GMFG",-0.909592513074672,-0.863000775938089
"GNA15",-0.677613518752971,-0.456090814204174
"GNB1",0.722097562605883,0.754227699773546
"GNG2",-0.718506263026407,-0.348929268395174
"GNL3",0.541895687510925,0.915490946610507
"GOLGA2",0.533970424585624,0.906390172567839
"GOLGA3",0.877542254178553,0.623507010359262
"GOLGA4",0.590194157138457,0.821439305200472
"GOLGA8A",0.855339191546649,0.620771208163677
"GOLGB1",0.866012762568953,0.639872255637466
"GOLM1",0.502868488839989,0.596242812309958
"GPRC5C",-0.288634830901702,-0.743022753364355
"GPX3",-0.870858564181776,-0.82448160957474
"GPX4",-0.887259558127854,-0.931848420818051
"GPX8",0.849673485668537,0.153549378060655
