"","pval_T2D_Beta","NES_T2D_Beta","pval_Aging_Beta","NES_Aging_Beta","pval_BMI_Beta","NES_BMI_Beta"
"ELVIDGE_HYPOXIA_BY_DMOG_UP",3.69e-06,2.642175975,0.00126537873764429,1.80002580694558,3.26675891599928e-05,2.44313471740572
"GOBP_APOPTOTIC_PROCESS",4.25e-05,2.103568665,3.32567611555676e-05,1.790872962525,0.343244905612005,1.05378114133166
"GOBP_CELLULAR_RESPONSE_TO_STRESS",0.001060968,1.880185009,0.000372886963992876,1.72227006162773,0.36549750416053,1.0235813407881
"GOBP_INSULIN_SECRETION",0.016842334,-1.75913839,0.00143116320607681,-1.90749454563467,0.158831003811944,-1.28359467411115
"GOBP_INTRACELLULAR_SIGNALING_CASSETTE",9.75551746573676e-06,2.28072400867537,0.00310077976244366,1.58517581517237,0.000156463689040281,1.82527376001637
"GOBP_OXIDATIVE_PHOSPHORYLATION",5.96e-05,-2.399225265,0.0700934579439252,-1.46052401176428,2.52194316013644e-05,-2.0856716804509
"GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH",3.63e-07,2.694633529,0.000178343391855287,1.93827604584301,0.00104020600480299,1.91731322344571
"GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS",2.28930304176679e-07,2.47028434640974,0.000754428721672928,1.66697392893836,4.6367726507133e-05,1.85590177361032
"GOBP_POTASSIUM_ION_HOMEOSTASIS",0.002669657,-1.630213853,0.0567226890756303,-1.39004172003262,0.187613843351548,-1.21578711723752
"GOBP_REGULATION_OF_CELL_CYCLE",0.001006658,2.061934905,0.00342577852343004,1.70458651107474,0.661764705882353,0.912150049746008
"GOBP_REGULATION_OF_CELL_DIFFERENTIATION",0.000101007,2.076947145,0.303937007874016,1.09607040581603,0.00178765962255802,1.66368454471247
"GOBP_RESPONSE_TO_RETINOIC_ACID",0.01425198,-1.810625809,0.108597285067873,-1.38706958568126,0.0230426652257773,-1.5668259264853
"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",0.000109344,-2.43980171,0.00819699070313676,-1.73224125392708,2.10668408946139e-06,-2.19172479064223
"GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H",0.000367425,-2.153985101,0.0592580147789653,-1.55979682213436,0.00023507173032882,-1.8834806070605
"GOMF_PHOSPHATASE_INHIBITOR_ACTIVITY",0.003459926,-1.845260648,0.0675381263616558,-1.46076070022413,0.0229510970170026,-1.49867068582473
"GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY",2.72e-06,2.428613171,0.0529542945186683,1.3704120741743,4.98389378817235e-05,2.00631446803856
"HALLMARK_FATTY_ACID_METABOLISM",0.04205736,-1.636634666,0.998207885304659,0.438442550780647,0.353204172876304,-1.0898251278294
"HALLMARK_IL2_STAT5_SIGNALING",0.00011399,2.28314126,0.0368774326200923,1.52874940896901,0.0220607365606243,1.68880231909759
"HALLMARK_PANCREAS_BETA_CELLS",0.042635616,-1.652488112,0.0942528735632184,-1.38872099654466,0.142276422764228,-1.32191178548027
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",9.92e-13,3.333958881,1.16736821505033e-07,2.27542426646671,0.000121025833261589,2.22878885740254
"HP_ABNORMAL_CIRCULATING_INSULIN_CONCENTRATION",0.026244146,-1.644397265,0.0502325776110136,-1.51663482415525,0.117079889807163,-1.36797540542787
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.000985355,2.052195378,0.0177058951446201,1.52563822973057,0.000314870129755933,1.96439332658674
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",7.04e-05,-2.438079977,0.0620689655172414,-1.44555955802512,4.63380284566512e-06,-2.13208309575405
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT",0.006803198,-1.964257667,0.0353957126842235,-1.5766231792893,0.512372634643377,-0.949116739389493
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS",0.006803198,-1.964257667,0.0353957126842235,-1.5766231792893,0.512372634643377,-0.949116739389493
"REACTOME_RETINOID_CYCLE_DISEASE_EVENTS",0.009000511,-1.573124652,0.0132139692304454,-1.47001672310299,0.0162143692344956,-1.42066880406993
"REACTOME_SIGNALING_BY_INTERLEUKINS",0.00043528,2.12554792,0.000287983452427945,1.89934405853516,0.0127989477316182,1.7863296964733
"SERVITJA_ISLET_HNF1A_TARGETS_DN",2.31e-05,-2.490997501,7.90668042297906e-05,-2.09592500651652,0.013820346981086,-1.63457768782439
"WONG_ADULT_TISSUE_STEM_MODULE",2.05e-07,2.57252869,4.4572471506869e-05,1.95105743712999,7.72141952295199e-05,1.90124770612318
"WP_DNA_DAMAGE_RESPONSE",0.001085027,2.004508802,0.0607142857142857,1.47387306067595,0.226100151745068,-1.21757630418468
