,geo_adj_score,cell_type
1,1.85635451145313,Acinar
2,1.76360518837477,Ductal
3,1.53287297733821,Ductal
4,1.54007938998725,Ductal
5,1.75370995476225,Acinar
6,1.48773138462376,Ductal
7,1.43860601141539,Ductal
8,1.7375166371218,Acinar
9,1.42614934653637,Ductal
10,1.41374297346253,Ductal
11,1.48013511017264,Stellate
12,1.38064462465811,Ductal
13,1.74421116528118,Ductal
14,1.6537455177502,Ductal
15,1.37455343409988,Acinar
16,1.55917494457087,Ductal
17,1.3322872091424,Acinar
18,1.39326806425555,Beta
19,1.50368497691735,Ductal
20,1.31610740328031,Alpha
21,1.28955630650577,Beta
22,1.29602678941981,Beta
23,1.42819375463424,Stellate
24,1.37490859016255,Ductal
25,1.33995854829273,Beta
26,1.28951287925438,Acinar
27,1.6101715327094,Ductal
28,1.28132859439561,Alpha
29,1.55711767123322,Alpha
30,1.34058637806414,Ductal
31,1.32981269582718,Alpha
32,1.68183725688243,Acinar
33,1.47965683472497,Beta
34,1.20861500302529,Alpha
35,1.29379655132687,Acinar
36,1.27821147775315,Ductal
37,1.37291793057409,Alpha
38,1.21209397163026,Stellate
39,1.20256567692718,Beta
40,1.25534395196261,Alpha
41,1.17986745554326,Alpha
42,1.17173320423145,Beta
43,1.20440592863643,Beta
44,1.214350457643,Acinar
45,1.14247411301353,Alpha
46,1.2706563067149,Ductal
47,1.16032779944154,Beta
48,1.25265924310452,Alpha
49,1.49560103950906,Beta
50,1.29558851831385,Beta
51,1.18955455106676,Alpha
52,1.10621662574799,Beta
53,1.06138260661564,Alpha
54,1.2441157915603,Acinar
55,1.28879660490039,Alpha
56,1.08168369808662,Alpha
57,1.05845286480768,Alpha
58,1.10865358977019,Beta
59,1.38094735229197,Alpha
60,1.05358896238041,Beta
61,1.3139572468129,Alpha
62,1.47273687721325,Stellate
63,1.13411440819577,Alpha
64,1.01630420274223,Beta
65,1.35263274057965,Beta
66,1.19302921192686,Alpha
67,0.997989412384169,Alpha
68,0.999145548412079,Beta
69,1.42046570914948,Alpha
70,1.04666197193997,Alpha
71,0.998234873745573,Beta
72,1.12371147703936,Acinar
73,1.16079082771279,Acinar
74,1.03968745529609,Alpha
75,1.22258060876761,Beta
76,1.02177205595845,Beta
77,1.55306118175624,Ductal
78,1.00014770663839,Beta
79,0.938650585138086,Beta
80,0.967202736926546,Beta
81,1.04768804675241,Alpha
82,1.0504774927451,Stellate
83,1.22084689970589,Beta
84,1.56508396479837,Ductal
85,0.868234309142607,Alpha
86,0.908817772184982,Alpha
87,1.11513877324041,Alpha
88,1.48772420171972,Ductal
89,1.25067002476045,Alpha
90,0.899747352437782,Alpha
91,1.08304476486778,Ductal
92,0.913096338026214,Beta
93,0.862242076683781,Beta
94,0.90352524678072,Beta
95,0.900681716217958,Alpha
96,1.02708923722818,Stellate
97,0.915199627162527,Alpha
98,0.90372431619579,Beta
99,0.813523224498935,Beta
100,0.824284392135639,Beta
101,1.02509902070871,Acinar
102,1.17215723796328,Alpha
103,0.864668094651783,Alpha
104,0.803530087197717,Alpha
105,1.28786770671026,Alpha
106,0.869911025938912,Alpha
107,1.088268563965,Alpha
108,0.794338410924379,Alpha
109,1.00078267380236,Beta
110,1.03948891159398,Alpha
111,0.927779547297108,Beta
112,1.23969811221438,Beta
113,0.84747982496669,Beta
114,0.973091586773663,Acinar
115,0.750212890043073,Alpha
116,0.820854333134348,Alpha
117,0.784243749700143,Alpha
118,0.891207900278582,Alpha
119,0.735664601124679,Beta
120,0.706862514140898,Alpha
121,0.745445673090955,Beta
122,0.909793054440403,Alpha
123,1.32120165307541,Beta
124,0.797336353458893,Alpha
125,0.67521106363759,Alpha
126,0.844705082993106,Alpha
127,0.67775915757554,Alpha
128,0.658793842515806,Beta
