,geo_adj_score,cell_type
1,1.54479277436535,Ductal
2,1.60473890352155,Ductal
3,1.53577249302595,Ductal
4,1.62990373383401,Acinar
5,1.56811534091352,Ductal
6,1.51883201875457,Ductal
7,1.57692714329452,Ductal
8,1.53636601466676,Acinar
9,1.51447605451534,Acinar
10,1.53378632981592,Acinar
11,1.60805818420481,Acinar
12,1.49697487861777,Ductal
13,1.51000887840697,Acinar
14,1.59826591754365,Stellate
15,1.47729675553156,Ductal
16,1.52301320695293,Acinar
17,1.48075945702023,Acinar
18,1.61455506452684,Ductal
19,1.56768724876033,Acinar
20,1.47941537892679,Stellate
21,1.56697590318762,Acinar
22,1.46074259787351,Acinar
23,1.50503612741735,Alpha
24,1.58217090896874,Ductal
25,1.47038707456597,Ductal
26,1.46057702590076,Acinar
27,1.48335001172031,Acinar
28,1.53748855109617,Ductal
29,1.44276488922257,Acinar
30,1.45080899229215,Acinar
31,1.52333001750392,Acinar
32,1.41246464749753,Acinar
33,1.46616604027768,Stellate
34,1.63243788088566,Acinar
35,1.53697511142586,Acinar
36,1.42827499325574,Acinar
37,1.50160129256102,Acinar
38,1.49379389532993,Acinar
39,1.4112455511304,Stellate
40,1.39994749574568,Alpha
41,1.54532758841869,Ductal
42,1.40568830785852,Acinar
43,1.60346117298271,Ductal
44,1.44613360414373,Acinar
45,1.38357025480789,Acinar
46,1.46086826312207,Alpha
47,1.51303751827906,Acinar
48,1.4063648179672,Ductal
49,1.44917587598429,Acinar
50,1.38203196228699,Acinar
51,1.39099906651313,Alpha
52,1.4648826944393,Acinar
53,1.37274057209953,Acinar
54,1.36693877182316,Acinar
55,1.50545492454622,Stellate
56,1.3835333964393,Alpha
57,1.39233842687969,Acinar
58,1.46017595434214,Acinar
59,1.54005548891279,Acinar
60,1.39388835603106,Alpha
61,1.43664497764489,Alpha
62,1.35528468871848,Alpha
63,1.41409982032644,Beta
64,1.55534489488367,Acinar
65,1.33208574834091,Alpha
66,1.34390593008133,Ductal
67,1.33603196054531,Alpha
68,1.45659564469052,Acinar
69,1.32914166796472,Acinar
70,1.39846954856453,Beta
71,1.30973792906627,Alpha
72,1.30293653833162,Alpha
73,1.58263503175867,Acinar
74,1.38730697529768,Acinar
75,1.30352757423383,Alpha
76,1.34268354913318,Alpha
77,1.38889974530765,Alpha
78,1.29829046631211,Beta
79,1.36479270256032,Beta
80,1.53096828971774,Acinar
81,1.42237555996054,Acinar
82,1.39049122704695,Alpha
83,1.28641844179031,Alpha
84,1.39187292767981,Acinar
85,1.33834223177895,Alpha
86,1.34442654142485,Alpha
87,1.48605985170652,Acinar
88,1.45631314866826,Acinar
89,1.53182717844427,Acinar
90,1.26746106145755,Beta
91,1.24954685822786,Alpha
92,1.27770913945362,Beta
93,1.26251356720327,Alpha
94,1.24625647148105,Beta
95,1.27032950581031,Alpha
96,1.39463606607563,Acinar
97,1.54464666429157,Acinar
98,1.34809850160149,Acinar
99,1.24798891114857,Alpha
100,1.28809441151296,Alpha
101,1.35768583732013,Alpha
102,1.31730297194266,Beta
103,1.27634080077068,Alpha
104,1.39674314418259,Acinar
105,1.30156729529458,Beta
106,1.3329852610497,Alpha
107,1.233100579987,Alpha
108,1.21865707031696,Beta
109,1.29203349878082,Alpha
110,1.22530380215176,Beta
111,1.40272018189009,Acinar
112,1.42947038376473,Alpha
113,1.35723730000338,Acinar
114,1.39795952618125,Beta
115,1.34289132656098,Alpha
116,1.3108935978349,Acinar
117,1.43660872637245,Beta
118,1.24163761458351,Alpha
119,1.23446554258075,Alpha
120,1.29933387471216,Ductal
121,1.26993401005229,Acinar
122,1.52102568860575,Acinar
123,1.18095053699282,Beta
124,1.3592383089073,Alpha
125,1.4627338210529,Alpha
126,1.49437344314733,Acinar
127,1.19616076840608,Alpha
128,1.29058234603089,Beta
129,1.23472805311061,Alpha
130,1.30910623012764,Acinar
131,1.19037504542013,Alpha
132,1.23240490860047,Alpha
133,1.19862544370165,Alpha
134,1.41551712306844,Beta
135,1.16819378174609,Alpha
136,1.20625638068053,Alpha
137,1.22386093421153,Acinar
138,1.37808495479346,Alpha
139,1.24038579243633,Ductal
140,1.34489041669675,Alpha
141,1.27793848483094,Beta
142,1.3155799499891,Beta
143,1.18630213466984,Alpha
144,1.23996728525222,Alpha
145,1.14240739949227,Alpha
146,1.18777850716677,Alpha
147,1.18837652868216,Acinar
148,1.14576580990534,Alpha
149,1.13052442999242,Alpha
150,1.36352833121955,Beta
151,1.13271857892446,Alpha
152,1.11510831417453,Alpha
153,1.24456501366136,Beta
154,1.12723841135044,Beta
155,1.33140798835564,Alpha
156,1.19668657330069,Alpha
157,1.45766439338516,Acinar
158,1.50419474352326,Acinar
159,1.15359687183265,Beta
160,1.28738086846901,Beta
161,1.09958602998263,Alpha
162,1.13628521516657,Alpha
163,1.21570569075492,Beta
164,1.07314680141379,Alpha
165,1.16660002687696,Ductal
166,1.18737828255768,Beta
167,1.10626668390513,Ductal
168,1.13092254245571,Acinar
169,1.09440799643419,Alpha
170,1.14759551737403,Alpha
171,1.09191590142424,Acinar
172,1.06170225323953,Alpha
173,1.26771361771605,Alpha
174,1.03944032726667,Alpha
175,1.40218277078038,Acinar
176,1.4698359417997,Acinar
177,1.30023108233399,Alpha
178,1.14196527759339,Beta
179,1.03728698565658,Alpha
180,1.02795471809815,Alpha
181,1.07276882842507,Alpha
182,1.10572316319539,Alpha
183,1.31099318766643,Alpha
184,1.20935364051263,Beta
185,1.07478070054198,Acinar
186,1.24898937093507,Alpha
187,1.16513883335266,Alpha
188,1.40363209882372,Acinar
189,1.01873679024628,Alpha
190,1.05746754581407,Alpha
191,0.990650527169803,Alpha
192,0.985915742631437,Alpha
193,1.00966305726408,Acinar
194,1.11797800361586,Alpha
195,1.01949044289342,Alpha
196,1.02823295915998,Acinar
197,1.14657456331788,Alpha
198,1.25765050130137,Alpha
199,1.0276136022571,Acinar
200,0.98994515469918,Alpha
201,1.0603519894145,Alpha
202,0.972018932260573,Acinar
203,1.07365554456202,Alpha
204,1.36546394855697,Acinar
205,1.19100711035318,Alpha
206,1.15704052409047,Alpha
207,0.95897201047317,Alpha
208,0.947831741125005,Beta
209,0.970929747081433,Acinar
210,1.12082440640893,Alpha
211,0.997030526430888,Alpha
212,1.00808386471721,Alpha
213,1.22092686947063,Beta
214,1.29416733855147,Alpha
215,1.08546713275657,Alpha
216,0.937953349475755,Acinar
217,0.913925678674533,Alpha
218,0.930043039717846,Alpha
