,cell_number,concave_regularity,brittleness,sample
AK090T_1,6.12249280951439,0.494342511077405,0.842107007687092,AK090T
AK090T_2,5.95583736946483,0.565643604964418,0.838650777701633,AK090T
AK090T_3,5.86078622346587,0.401121157027271,0.774468094766027,AK090T
AK090T_4,5.59471137960184,0.127563454560206,0.730856594634942,AK090T
AK090T_5,5.97888576490112,0.4624278655607,0.905793989406514,AK090T
AK090T_6,5.79605775076537,0.434968510865997,0.816094345368903,AK090T
AK090T_7,5.85507192220243,0.50254548126215,0.809420022495814,AK090T
AK090T_8,5.65599181081985,0.280573797590547,0.76256512426184,AK090T
AK090T_9,5.63835466933375,0.247971892974613,0.758830420968651,AK090T
AK090T_10,5.65948221575962,0.367910948657026,0.846118500998609,AK090T
AK090T_11,5.73657229747919,0.576864451602294,0.867894586931512,AK090T
AK090T_12,5.54907608489522,0.557841626223855,0.922369587117134,AK090T
AK090T_13,5.12396397940326,0.111778099520573,0.647301914634469,AK090T
AK090T_14,5.17048399503815,0.0300990680690484,0.617195291990879,AK090T
AK090T_15,5.17614973257383,0.154994273749344,0.717887453937131,AK090T
AK090T_16,5.52545293913178,0.602910559991712,0.933425740335976,AK090T
AK090T_17,5.12396397940326,0.117603095460808,0.639088570670902,AK090T
AK090T_18,5.46383180502561,0.362829666096489,0.889690140478313,AK090T
AK090T_19,5.39362754635236,0.497263799211512,0.823632472510561,AK090T
AK090T_20,5.03695260241363,0.26869353656682,0.651710122443959,AK090T
AK090T_21,5.47646355193151,0.543870622834133,0.839554994868885,AK090T
AK090T_22,5.15905529921453,0.328689849547964,0.796236188468009,AK090T
AK090T_23,5.17048399503815,0.41296509020711,0.836596893048388,AK090T
AK090T_24,5.18178355029209,0.575161580361217,0.880681094943315,AK090T
AK090T_25,5.05624580534831,0.34546976377599,0.784439490481596,AK090T
AK090T_26,4.82028156560504,0.301558693913703,0.845754812870349,AK090T
AK090T_27,5.14166355650266,0.482459130495289,0.844548951980728,AK090T
