source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,source.target,prob.original,group.names,dataset,p_raw,p_cat
PSC,Beta,COL3A1,ADGRG1,0.272820654,3,COL3A1_ADGRG1,COL3A1 - ADGRG1,ADGRG,Cell-Cell Contact,PMID: 31462748;UniProtKB,PSC -> Beta (H),0.025593634,PSC -> Beta,H,0.025593634,0.01 < p < 0.05
PSC,Beta,COL3A1,ADGRG1,0.288080823,3,COL3A1_ADGRG1,COL3A1 - ADGRG1,ADGRG,Cell-Cell Contact,PMID: 31462748;UniProtKB,PSC -> Beta (T2D),0.031078219,PSC -> Beta,T2D,0.031078219,0.01 < p < 0.05
PSC,Beta,IGFBP3,TMEM219,0.237638756,3,IGFBP3_TMEM219,IGFBP3 - TMEM219,IGFBP,Secreted Signaling,PMID:20353938,PSC -> Beta (H),0.014875082,PSC -> Beta,H,0.014875082,0.01 < p < 0.05
PSC,Beta,IGFBP3,TMEM219,0.26241049,3,IGFBP3_TMEM219,IGFBP3 - TMEM219,IGFBP,Secreted Signaling,PMID:20353938,PSC -> Beta (T2D),0.022129953,PSC -> Beta,T2D,0.022129953,0.01 < p < 0.05
PSC,Beta,LAMA2,CD44,0.113356262,3,LAMA2_CD44,LAMA2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,PSC -> Beta (H),0.000147491,PSC -> Beta,H,0.000147491,p < 0.01
PSC,Beta,LAMA2,CD44,0.122121437,2,LAMA2_CD44,LAMA2 - CD44,LAMININ,ECM-Receptor,KEGG: hsa04512,PSC -> Beta (T2D),0.000277811,PSC -> Beta,T2D,0.000277811,p < 0.01
PSC,Beta,APP,SORL1,0.191365078,3,APP_SORL1,APP - SORL1,APP,Cell-Cell Contact,PMID: 24523320,PSC -> Beta (H),0.005377058,PSC -> Beta,H,0.005377058,p < 0.01
PSC,Beta,APP,SORL1,0.192129373,3,APP_SORL1,APP - SORL1,APP,Cell-Cell Contact,PMID: 24523320,PSC -> Beta (T2D),0.005490004,PSC -> Beta,T2D,0.005490004,p < 0.01
PSC,Beta,THBS1,CD47,0.168627424,3,THBS1_CD47,THBS1 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,PSC -> Beta (H),0.002657861,PSC -> Beta,H,0.002657861,p < 0.01
PSC,Beta,THBS1,CD47,0.185259781,3,THBS1_CD47,THBS1 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,PSC -> Beta (T2D),0.004526412,PSC -> Beta,T2D,0.004526412,p < 0.01
PSC,Beta,THBS2,CD47,0.188812859,3,THBS2_CD47,THBS2 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,PSC -> Beta (H),0.00501035,PSC -> Beta,H,0.00501035,p < 0.01
PSC,Beta,THBS2,CD47,0.207658748,3,THBS2_CD47,THBS2 - CD47,THBS,ECM-Receptor,KEGG: hsa04512,PSC -> Beta (T2D),0.008102416,PSC -> Beta,T2D,0.008102416,p < 0.01
