source,target,ligand,Beta.Slope,receptor,PSC.Slope,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,source.target,prob.original,group.names,dataset,p_raw,p_cat
Beta,PSC,BTC,-0.135209853,EGFR,-0.099847325,0.067244282,3,BTC_EGFR,BTC - EGFR,EGF,Secreted Signaling,KEGG: hsa04012,Beta -> PSC (H),3.48E-07,Beta -> PSC,H,0,p < 0.01
Beta,PSC,EDN3,-0.79175455,EDNRA,0.056057384,0.180615962,3,EDN3_EDNRA,EDN3 - EDNRA,EDN,Secreted Signaling,KEGG: hsa04080,Beta -> PSC (H),0.003939863,Beta -> PSC,H,0,p < 0.01
Beta,PSC,EDN3,-0.79175455,EDNRA,0.056057384,0.170956472,3,EDN3_EDNRA,EDN3 - EDNRA,EDN,Secreted Signaling,KEGG: hsa04080,Beta -> PSC (T2D),0.002881506,Beta -> PSC,T2D,0,p < 0.01
Beta,PSC,EDN3,-0.79175455,EDNRB,-0.574398798,0.14871099,3,EDN3_EDNRB,EDN3 - EDNRB,EDN,Secreted Signaling,KEGG: hsa04080,Beta -> PSC (H),0.001201178,Beta -> PSC,H,0,p < 0.01
Beta,PSC,EDN3,-0.79175455,EDNRB,-0.574398798,0.142699563,3,EDN3_EDNRB,EDN3 - EDNRB,EDN,Secreted Signaling,KEGG: hsa04080,Beta -> PSC (T2D),0.00090486,Beta -> PSC,T2D,0,p < 0.01
Beta,PSC,SEMA4D,0.022014399,PLXNB2,,0.078778568,3,SEMA4D_PLXNB2,SEMA4D - PLXNB2,SEMA4,Cell-Cell Contact,PMID: 27533782,Beta -> PSC (H),3.07E-06,Beta -> PSC,H,0,p < 0.01
Beta,PSC,SEMA4D,0.022014399,PLXNB2,,0.073761296,3,SEMA4D_PLXNB2,SEMA4D - PLXNB2,SEMA4,Cell-Cell Contact,PMID: 27533782,Beta -> PSC (T2D),1.29E-06,Beta -> PSC,T2D,0,p < 0.01
Beta,PSC,RBP4,-0.83698434,STRA6,-0.103,0.156347587,3,RBP4_STRA6,RBP4 - STRA6,RBP4,Secreted Signaling,uniprot,Beta -> PSC (H),0.001668208,Beta -> PSC,H,0,p < 0.01
Beta,PSC,RBP4,-0.83698434,STRA6,-0.103,0.142322952,3,RBP4_STRA6,RBP4 - STRA6,RBP4,Secreted Signaling,uniprot,Beta -> PSC (T2D),0.000888236,Beta -> PSC,T2D,0,p < 0.01
Beta,PSC,SEMA5A,-0.511148862,PLXNA1,0.598180249,0.071374463,3,SEMA5A_PLXNA1,SEMA5A - PLXNA1,SEMA5,Cell-Cell Contact,PMID: 27533782,Beta -> PSC (H),8.23E-07,Beta -> PSC,H,0,p < 0.01
Beta,PSC,WNT4,-0.541593516,FZD1_LRP6,,0.080684862,3,WNT4_FZD1_LRP6,WNT4 - (FZD1+LRP6),WNT,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,Beta -> PSC (H),4.14E-06,Beta -> PSC,H,0,p < 0.01
