source,target,ligand,Beta_Slope,receptor,PSC_Slope,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,source.target,prob.original,group.names,dataset
Beta,PSC,ANGPTL2,0.739302731,ITGA5_ITGB1,"0.937624024454352,0.353279010633248",0.128470112,3,ANGPTL2_ITGA5_ITGB1,ANGPTL2 - (ITGA5+ITGB1),ANGPTL,Secreted Signaling,PMID: 24478758,Beta -> PSC (T2D),0.00041638,Beta -> PSC,T2D
Beta,PSC,BMP5,0.929388704,ACVR1_BMPR2,"0.126155609902602,0.829460659967347",0.139418885,3,BMP5_ACVR1_BMPR2,BMP5 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Beta -> PSC (T2D),0.000767302,Beta -> PSC,T2D
Beta,PSC,BMP5,0.929388704,ACVR1_BMPR2,"0.126155609902602,0.829460659967347",0.133632594,3,BMP5_ACVR1_BMPR2,BMP5 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Beta -> PSC (H),0.000562452,Beta -> PSC,H
Beta,PSC,CADM1,0.956665855,NECTIN3,0.277475458,0.140871802,2,CADM1_NECTIN3,CADM1 - NECTIN3,CADM,Cell-Cell Contact,uniprot,Beta -> PSC (T2D),0.000826217,Beta -> PSC,T2D
Beta,PSC,CDH1,0.723055468,ITGA2_ITGB1,"0.846809475658293,0.937624024454352",0.178350077,3,CDH1_ITGA1_ITGB1,CDH1 - (ITGA1+ITGB1),CDH1,Cell-Cell Contact,PMID: 12392763,Beta -> PSC (T2D),0.003672252,Beta -> PSC,T2D
Beta,PSC,CDH1,0.723055468,ITGA2_ITGB1,"0.846809475658293,0.937624024454352",0.172944823,3,CDH1_ITGA1_ITGB1,CDH1 - (ITGA1+ITGB1),CDH1,Cell-Cell Contact,PMID: 12392763,Beta -> PSC (H),0.003081955,Beta -> PSC,H
Beta,PSC,CNTN1,0.56662654,NOTCH2,0.730133253,0.125344787,3,CNTN1_NOTCH2,CNTN1 - NOTCH2,CNTN,Cell-Cell Contact,reactome;PMID:14567914;PMID: 33957164,Beta -> PSC (T2D),0.000342927,Beta -> PSC,T2D
Beta,PSC,CNTN1,0.56662654,NOTCH2,0.730133253,0.117329841,3,CNTN1_NOTCH2,CNTN1 - NOTCH2,CNTN,Cell-Cell Contact,reactome;PMID:14567914;PMID: 33957164,Beta -> PSC (H),0.000198846,Beta -> PSC,H
Beta,PSC,COL6A1,0.456222752,ITGA11_ITGB1,"0.0630167933571519,0.937624024454352",0.094491633,3,COL6A1_ITGA11_ITGB1,COL6A1 - (ITGA11+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,Beta -> PSC (T2D),2.53E-05,Beta -> PSC,T2D
Beta,PSC,COL6A1,0.456222752,ITGA11_ITGB1,"0.0630167933571519,0.937624024454352",0.084162274,3,COL6A1_ITGA11_ITGB1,COL6A1 - (ITGA11+ITGB1),COLLAGEN,ECM-Receptor,KEGG: hsa04512,Beta -> PSC (H),6.92E-06,Beta -> PSC,H
Beta,PSC,DLK1,0.880283599,NOTCH2,0.730133253,0.170098537,3,DLK1_NOTCH2,DLK1 - NOTCH2,NOTCH,Cell-Cell Contact,PMID: 22353464,Beta -> PSC (T2D),0.002797734,Beta -> PSC,T2D
Beta,PSC,DLK1,0.880283599,NOTCH2,0.730133253,0.155055195,3,DLK1_NOTCH2,DLK1 - NOTCH2,NOTCH,Cell-Cell Contact,PMID: 22353464,Beta -> PSC (H),0.001581603,Beta -> PSC,H
Beta,PSC,GDF15,0.769719908,TGFBR2,0.117421645,0.105780193,3,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350,Beta -> PSC (T2D),7.84E-05,Beta -> PSC,T2D
Beta,PSC,GDF15,0.769719908,TGFBR2,0.117421645,0.087657434,3,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350,Beta -> PSC (H),1.11E-05,Beta -> PSC,H
Beta,PSC,NAMPT,0.887695848,ITGA5_ITGB1,"0.937624024454352,0.353279010633248",0.154335754,3,NAMPT_ITGA5_ITGB1,NAMPT - (ITGA5+ITGB1),VISFATIN,Secreted Signaling,PMID: 28490838,Beta -> PSC (T2D),0.001534762,Beta -> PSC,T2D
Beta,PSC,NAMPT,0.887695848,ITGA5_ITGB1,"0.937624024454352,0.353279010633248",0.151951994,3,NAMPT_ITGA5_ITGB1,NAMPT - (ITGA5+ITGB1),VISFATIN,Secreted Signaling,PMID: 28490838,Beta -> PSC (H),0.001386426,Beta -> PSC,H
Beta,PSC,NCAM1,0.197052322,FGFR1,0.605136503,0.138931527,3,NCAM1_FGFR1,NCAM1 - FGFR1,NCAM,Cell-Cell Contact,PMID: 12791257,Beta -> PSC (T2D),0.000748237,Beta -> PSC,T2D
Beta,PSC,NCAM1,0.197052322,FGFR1,0.605136503,0.134218453,3,NCAM1_FGFR1,NCAM1 - FGFR1,NCAM,Cell-Cell Contact,PMID: 12791257,Beta -> PSC (H),0.000581128,Beta -> PSC,H
Beta,PSC,NRXN1,0.123129016,CLSTN1,0.606262326,0.137310418,3,NRXN1_CLSTN1,NRXN1 - CLSTN1,NRXN,Cell-Cell Contact,PMID: 32434929,Beta -> PSC (T2D),0.00068728,Beta -> PSC,T2D
Beta,PSC,NRXN1,0.123129016,CLSTN1,0.606262326,0.133253336,3,NRXN1_CLSTN1,NRXN1 - CLSTN1,NRXN,Cell-Cell Contact,PMID: 32434929,Beta -> PSC (H),0.0005506,Beta -> PSC,H
Beta,PSC,NRXN1,0.123129016,NLGN2,0.665750965,0.078733386,3,NRXN1_NLGN2,NRXN1 - NLGN2,NRXN,Cell-Cell Contact,KEGG: hsa04514,Beta -> PSC (T2D),3.05E-06,Beta -> PSC,T2D
