"CellType","CellTypeNew"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Acinar","Other Non-Endocrine"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Proliferating_Alpha","Alpha"
"Proliferating_Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Duct_sub2","Other Non-Endocrine"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Quiescent_PSC","SC"
"Quiescent_PSC","SC"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Macrophage","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Proliferating_PSC","SC"
"Proliferating_PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Schwann","Other Non-Endocrine"
"Schwann","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"PP","Other Endocrine"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Activated_PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Beta","Beta"
"PP","Other Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Beta","Beta"
"PP","Other Endocrine"
"Alpha","Alpha"
"PP","Other Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"PP","Other Endocrine"
"Beta","Beta"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"PP","Other Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Duct_sub1","Other Non-Endocrine"
"Alpha","Alpha"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Beta","Beta"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Duct_sub1","Other Non-Endocrine"
"Duct_sub1","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
