,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,color
A1BG,A1BG,432.970251801194,-0.105548645065637,0.237487496852251,-0.444438745048133,0.656725406364274,0.999982363306687,Not Significant,grey
A1BG-AS1,A1BG-AS1,76.1734691946853,-0.159165986137141,0.545846400907226,-0.291594825710306,0.770596432077114,0.999982363306687,Not Significant,grey
A1CF,A1CF,2562.4412488013,0.00280898528126354,0.119563640618276,0.0234936412670104,0.981256510620384,0.999982363306687,Not Significant,grey
A2M,A2M,5724.9357982135,-0.130942917533881,0.0919232915058178,-1.42448029643928,0.154307484826138,0.999982363306687,Not Significant,grey
A2M-AS1,A2M-AS1,64.9248877044652,-0.0396683243214715,0.570324256367391,-0.0695539842091478,0.944548663470213,0.999982363306687,Not Significant,grey
A4GALT,A4GALT,261.608452862746,-0.697045484526731,0.294258349980635,-2.36882142706436,0.0178448670099593,0.969881577729664,Not Significant,grey
AAAS,AAAS,1102.5622478318,0.0783387343774488,0.15387495112919,0.509106477711745,0.610677591565258,0.999982363306687,Not Significant,grey
AACS,AACS,4213.41826342288,0.020548792990481,0.100003766235087,0.205480191037759,0.837196973162925,0.999982363306687,Not Significant,grey
AADAC,AADAC,67.681794065732,-0.782288461676264,0.603384870367827,-1.29649996228672,0.194803293031247,0.999982363306687,Not Significant,grey
AADAT,AADAT,324.744977985285,0.140260608223801,0.262789256102308,0.53373798573103,0.59352282435881,0.999982363306687,Not Significant,grey
AAGAB,AAGAB,1477.3407290997,-0.0402853176331234,0.140525512270114,-0.2866761841486,0.774360274815931,0.999982363306687,Not Significant,grey
AAK1,AAK1,3008.62534954245,0.172438539143981,0.115535854884057,1.49251104184954,0.135565224766244,0.999982363306687,Not Significant,grey
AAMDC,AAMDC,189.810672582245,-0.344020736137627,0.34359349757262,-1.00124344193946,0.316709128891358,0.999982363306687,Not Significant,grey
AAMP,AAMP,2653.53017463416,-0.0216611135347211,0.112726449142236,-0.192156443315175,0.847619663236625,0.999982363306687,Not Significant,grey
AAR2,AAR2,1019.62835878425,-0.0726836722558244,0.164738544140177,-0.441206231578551,0.659063702268121,0.999982363306687,Not Significant,grey
AARS1,AARS1,10995.400148212,-0.0642384178382238,0.0818002172065251,-0.785308646259922,0.43227262762949,0.999982363306687,Not Significant,grey
AARS2,AARS2,654.273927311046,0.117081418496484,0.195655332501107,0.598406478370943,0.54956874413287,0.999982363306687,Not Significant,grey
AASDH,AASDH,821.740333621386,0.18950943596461,0.176897329789967,1.07129619304948,0.284036271036209,0.999982363306687,Not Significant,grey
AASDHPPT,AASDHPPT,1754.77471030805,0.00234954931551028,0.12901445476107,0.0182115199406265,0.985470112577492,0.999982363306687,Not Significant,grey
AASS,AASS,415.315255932112,0.112695560796923,0.237008931542804,0.47549077607892,0.63443720617607,0.999982363306687,Not Significant,grey
AATF,AATF,1091.29810640997,0.0416573638589199,0.170673728000854,0.244076017714405,0.807171946024025,0.999982363306687,Not Significant,grey
AATK,AATK,1198.86886168329,0.152728142410039,0.149651862452826,1.02055624238009,0.307464729899491,0.999982363306687,Not Significant,grey
ABAT,ABAT,4461.04560709047,0.18422389564588,0.103603994883893,1.77815436414722,0.0753785057729072,0.999982363306687,Not Significant,grey
