Handwriting,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction
Sterol Metabolic Process,GOBP_STEROL_METABOLIC_PROCESS,0.001366601,0.040707166,0.455059867,0.884224686,2.931654559,115,CYP26B1|CYP26A1|LRP5|SREBF1|ACLY|EPHX2|ERRFI1|NR0B2|MBTPS2|PCSK9|DHCR24|LDLRAP1,Up
Retinoic Acid Signaling,REACTOME_SIGNALING_BY_RETINOIC_ACID,0.000275331,0.012680565,0.498493109,0.952274676,2.596158851,32,CYP26B1|DHRS3|CYP26A1|RARB,Up
Cell Fate Determination,GOBP_CELL_FATE_DETERMINATION,0.000272658,0.012574106,0.498493109,0.954613946,2.583689073,31,CYP26B1|PTCH1,Up
Retinol Metabolism,KEGG_RETINOL_METABOLISM,7.37E-05,0.004684512,0.538434096,0.953276483,2.526480611,25,CYP26B1|DHRS3|CYP26A1|LRAT,Up
Retinoic Acid Metabolic Process,GOBP_RETINOIC_ACID_METABOLIC_PROCESS,4.58E-06,0.000476596,0.610526878,0.969515258,2.318460533,15,CYP26B1|CYP26A1|RBP1,Up
Response To Vitamin A,GOBP_RESPONSE_TO_VITAMIN_A,1.20E-06,0.000155422,0.643551836,0.978491828,2.202516475,11,CYP26B1|CYP26A1|LRAT,Up
Cellular Lipid Metabolic Process,GOBP_CELLULAR_LIPID_METABOLIC_PROCESS,0.001099976,0.035154748,0.455059867,0.56960017,2.046976036,798,CYP26B1|DHRS3|CYP26A1|ENPP2|RBP1|PIK3CG|PLCH2|MLXIPL|SREBF1|SCD|RBP4|ACLY|EPHX2|LRAT|NKX2-3|ST6GALNAC5|PLPP3|ACACA|FASN|ASAH2B|SMG1|ANKRD23|MTMR10|ADGRF5|PRKCD|PPM1L|ELOVL5|PTGIS|PCSK9|ABHD3|SLC44A5|SMPD3|CYP3A5|ANGPTL3|TH|FUT6|FAM135B|ACSL3|PLD1|B3GALNT1|PTPN11|PDSS2|PRKAR2B|HADH|ADH1C|ETNK1|SELENOI|B3GNT5|CERK|PIGV|CRH|GPD1,Up
Vitamin Catabolic Process,GOBP_VITAMIN_CATABOLIC_PROCESS,7.31E-08,1.42E-05,0.704975715,0.995019922,2.022377265,7,CYP26B1|CYP26A1,Up
Lipid Metabolic Process,GOBP_LIPID_METABOLIC_PROCESS,0.00045706,0.01850162,0.49849311,0.52319794,1.89595133,1064,CYP26B1|DHRS3|FGF19|CYP26A1|LRP5|PLCXD3|ENPP2|RBP1|PIK3CG|PLCH2|MLXIPL|SREBF1|SCD|RBP4|ACLY|EPHX2|LRAT|ERRFI1|NKX2-3|ST6GALNAC5|PLPP3|ACACA|FASN|ASAH2B|SMG1|ANKRD23|MTMR10|NR0B2|ADGRF5|PRKCD|HSPG2|PPM1L|ABCA7|PBX1|ZBTB20|ELOVL5|MBTPS2|PTGIS|PCSK9|DHCR24|EGR1|ABHD3|IGF1R|LDLRAP1|SLC44A5|SMPD3|CYP3A5|B3GALT5|ANGPTL3|ADGRF1|TH|FUT6|FAM135B|ACSL3|CYP51A1|PLD1|DHCR7|B3GALNT1|PTPN11|PDSS2|PDE8B|ABCA5|CACNA1H|PTPRN2|PRKAR2B|HADH|ADH1C|ETNK1|SELENOI|B3GNT5|REST|CERK|STARD4|PIGV|CRH|GPD1|SCARB2|SREBF2|HSD11B2|APOBR|UBR4|OPA3|ST6GALNAC3|GOLM1|PIGG|SYNJ1|ABCG2|FADS2,Up
Retinol Binding,GOMF_RETINOL_BINDING,0.001655602,0.046450962,0.455059867,0.961608564,1.886805898,6,RBP1|RBP4|LRAT|RBP5|STRA6,Up
External Encapsulating Structure,GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,2.87E-18,3.69E-15,1.105336577,-0.619561614,-2.387735073,395,MMP1|POSTN|FGG|MMP12|LUM|ANGPTL2|MMP9|FGA|COL6A2|COL6A1|DCN|AGT|MMP7|LGALS1|SERPINA1|MFAP4|PRG4|TGFB3|TNC|AEBP1|ANXA2|ABI3BP|ASPN|GREM1|HTRA1|CTSH|COL8A1|ANXA1|LAMC3|FGB|CHI3L1|LGALS3|RARRES2|EDIL3|COL4A2|PODN|LTBP4|LAMA4|PRELP|IGFBP7|TNFRSF11B|ADAMTS1|SERPINH1|WNT4|ANGPT2|LTBP1|FGL1|CTSZ|COL12A1|BCAM|CSPG4|AGRN|OLFML2A|TPSB2|MMP2|MMP10|SRPX|BGN|MMP8|HPX|CSTB|PCOLCE|CTSF|SEMA3B|SMOC1|CLEC14A|EMILIN1|ADAMTS9|SPON2|LGALS4|VWF|SPARCL1|CALR|PI3|COL3A1|CDON|ECM1|PCSK6|COL14A1|LAMB3|CTSL|COL9A2|TGFB1|SERPINF1|S100A6|CD151|COL4A1|C1QB|ITIH5|SDC3|IGFALS|EFEMP1|A2M|MMP14|FLRT3|APCS|HMCN1|MMP15|SERPING1|AZGP1|SLPI|WNT5A|ANXA2P2|FBLN2|CTSD|C1QC|S100A10|EFEMP2|THBS2|SERPINE2|RTN4RL2|APOH|APOE|LAMC2|LAMB1|S100A4|ANXA5|CRISPLD2|TPSAB1|MMP17|WNT5B|PLOD3|HSP90AA1|LAMA1|TNXB|THBS4|ELN|ADAMTS7|CD248|SSC5D|CPA3|OLFML2B|LOXL3,Down
Cellular Responses To Stimuli,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,2.02E-15,1.28E-12,1.007317957,-0.514360289,-2.080301135,698,SOD2|HSPB1|LMNA|HSPA6|RPS7|RPL18A|RPL28|RPL23|RPL10|RPSA|TUBA1A|PPP1R15A|IGFBP7|RPL35A|IL1A|RPL27|RPS18|SERPINH1|TXNIP|RPS15A|RPL12|RPL37|RPL26|RPL11|RPL30|RPS2|RPS25|RPS19|EPAS1|CDKN1A|H2AJ|RPS9|RPS3A|RPL8|EGLN3|RPL7|FAU|RPS12|RPS3|COX6A1|BLVRA|RPL13|NDUFA4|RPL29|SHC1|EEF1A1|RPS24|RPL27A|RPL35|RPS8|RPL13A|ALB|RPL41|MYDGF|RPS14|P4HB|RPL10A|RPL39|RPS13|RPL24|HSPA12A|RPS16|HSPA5|COX7C|RPS20|RPL14|TXN|GSTA1|RPL21|PRDX5|CALR|RPS5|RPS21|CDK4|PDIA6|RPS27|RPS11|UBE2E1|TUBA1B|MAPK11|COX4I1|RPS4X|COX5B|KDELR3|UBC|RPL38|DYNLL1|COX6B1|NQO1|RPL7A|UBA52|RPL31|RPS23|SQSTM1|RXRA|RPL19|RPLP1|RPL5|RPL36AL|ATF3|HMOX1|SESN1|HIGD1A|HSPA1A|RPS6|PRDX1|RPL37A|CITED2|NFKB1|CYCS|GPX1|CDC26|COX7A1|PSMA6|ABCC3|PSME1|PSMB3|RPS27A|H1-2|HSF1|DNAJB1|RRAGA|PSMD8|FOS|ATP6V0E1|LAMTOR4|CREB3L1|ERO1A|RPL23A|RPL9|RPL34|NR1D1|BLVRB|AJUBA|CXCL8|RHEB|JUN|RPS15|RPL18|EIF2S2|RPS27L|WIPI1|PDGFA|TRIM21|MRPL18|RPS29|ID1|BCL2L1|ACD|HSP90AA1|H2BC12|H2BC21|BAG1|COX7A2|STAT3|H2AX|UBB|ATF5|RPL6|AKT1|SEM1|G6PD|COX6C|RPLP0|SMARCD3|PRDX2|PSMD9|DCTN5|TRIB3|CRYAB|MT1G|RPL22|MAPK3|ATP6V1B2|CTDSP2|ATP6V1F|HSP90B1|DPP3|H2AC6|DNAJB6|LAMTOR1|ATP6V1E2|RPL22L1|RPL32|SOD1|H1-0|COX5A|TUBA1C|RPL4|YIF1A|ANAPC11|TP53|ERF|FKBP4|PSMB6|ETS2|PSMB8|RPL36|RPA3|ERN1|MT1E|DNAJA1|ACADVL|RBX1|ATP6V1G1|ELOC|RPS26|TXN2|STAP2|ANAPC2|NCF2,Down
