Names,GSEA_term,Beta_FDR,Alpha_FDR,Delta_FDR,PP_FDR,PSC_FDR,Endothelial_FDR,Duct_FDR,Acinar_FDR,Beta.Genes,Alpha.Genes,Delta.Genes,PP.Genes,PSC.Genes,Endothelial.Genes,Duct.Genes,Acinar.Genes,Beta.Counts,Alpha.Counts,Delta.Counts,PP.Counts,PSC.Counts,Endothelial.Counts,Duct.Counts,Acinar.Counts,Gene_Count
Mitochondrion,GOCC_MITOCHONDRION,1.65E-12,5.08E-41,4.10E-26,1.05E-07,3.63E-09,1.21E-17,3.04E-05,2.16E-10,"COA3,IFI27L2,TMEM14A,AKR7A2,DHRS2,HADH,NDUFS6,CLU,ATP5MC2,PIN4,IMMP1L,NDUFB2,UQCC2,BOLA3,NDUFB3,HMGN5,SMIM30,NDUFS4,ETFB,NDUFA3,TMEM126A,COA8,MRPL54,PPM1K,PRDX5,NDUFB11,CMC2,C15orf48,BNIP3,IFI27L1,PCCB,SUCLG1,MRPS33,ALDH2,PGRMC1,PFDN4,CMC1,CHCHD10,MRPS6,NDUFB10,CISD1,IMMP2L,DHTKD1,GCAT,MRPL17,TMEM126B,GCSH,MRPS34,CISD2,EFHD1,RIDA,ACOT13,MICU1,TIMM13,ACSM3,APOO,BAX,SARS2,ABCD3,ALDH4A1,PNKD,ACSF2,ABAT,ADAP2,SCO2,TST,UCP2,PDE2A,FAM162A","HIGD2A,MGST3,MPC2,SLC25A5,BLOC1S1,GPX4,C15orf48,UQCRH,ATP5MG,ATP5MC2,NDUFC2,NDUFA12,NDUFB6,COX7A2L,NDUFAF3,IFI6,PARK7,GSTK1,NDUFA11,COX5A,UBB,CYB5A,ATP5PF,COX7A2,ATP5MC1,COX6A1,ATP5MF,RPS3,ATP5PO,COX7B,NDUFS4,NDUFB10,NME4,GPX1,ARL2,NDUFB11,MRPL24,COX8A,COX5B,PNKD,FIS1,PRDX5,COX6B1,SURF1,NDUFA5,MRPL22,NDUFAB1,HSD17B10,TMEM14A,HAGH,COX6C,MRPL23,NDUFB9,DMAC1,MRPL48,ISCA2,BAX,NDUFB7,MRPL43,APOO,TIMM13,ATP5F1D,NDUFS7,NDUFAF8,NDUFA2,MRPL34,MMAB,SMIM26,UQCC2,LYRM4,NME3,SDHC,MRPL53,TIMM17B,HINT2,TOMM22,MRPL51,DNAJC19,MRPL36,MRPL14,RIDA,HSPE1,TMEM126A,NDUFS8,DUT,FDX2,MRPS21,MRPL57,ALKBH7,SMIM30,IFI27L1,COX4I1,ALDH7A1,ANTKMT,DYNLL1,MRPL40,PRDX6,PTS,MRPL54,TOMM5,CHCHD6,NDUFS3,MRPS15,MRPL15,NDUFA3,TXN2,COX14,GSTZ1,TUSC2,ISCU,MRPS14","BLOC1S1,HADH,C15orf48,COX7B,TOMM7,GPX4,PNKD,UQCC2,NDUFA3,PRDX5,MRPS21,HINT2,COX5A,UQCR10,HSPE1,PEMT,GCDH,IFI27L2,NDUFS4,MRPS18A,ABCD3,NDUFB6,TIMM17B,NDUFB2,MRPL24,SLIRP,SLC25A35,NFS1,ATP5MC2,NDUFS8,BIK,MICOS13,PTS,ECHDC2,FARS2,CISD1,PLA2G4C,NDUFA11,RPUSD4,AGPAT4,CHCHD5,COA6,ALAS1,ETFDH,CAT,DHRS4,MRPL11,NDUFS7,MRPL54,BDH2,NDUFAF6,CISD3,ALDH1B1,MRPS35,FDXR,MRPL17,KYAT1,ABAT,MRPL36,BCKDK,SGK1,CHCHD1,YARS2,TMEM126B,APOO,HIBCH,CRYM,NDUFA12,MT3,SARS2,NDUFA4L2,MYCBP,IVD,MRPL48,TOP1MT,SUOX,SIRT1,ECSIT,NDUFA6,PRORP,BCS1L,MRS2,DECR1,IDH1,SFXN4,UQCC3,GPT2,NDUFB5,SDHAF4,TMEM242,GCAT,ALDH1L2","UBC,RPS3,COX4I1,RPS27A,METTL17,OGT,PDK4,SNN,SDHAF1,CMC2,PUS1,GABARAPL1,DGUOK,FANCG,HMGCL,TIMM21,SLC25A26,ATG4D,MRPL18,ZBTB6,PPP1CC,COX7A2L,FKBP8,MFN1,TUFM,CYB5B,IDH3B,CLN8,SLC41A3,CFAP410,PRICKLE3,SNPH,UBA52,ECHDC3,COASY,ALKBH1,RSAD1,SUPV3L1,FPGS,MMADHC,C2orf69,UQCC1,BDH1,ULK1,NDUFA8,SLC25A3,MYG1,PEX11B,MRPL40,APEX1,MAP1LC3B,TRMU,SMURF1,TRNT1,DUSP18,SUGCT,COQ10A","GPX4,MGST3,COX4I1,SOD2,G0S2,ARL2,EFHD1,ISCU,IFI27,PLAAT3,STOM,COX7A1,IFIT3,CYB5A,SQOR,ATP5PO,PRDX5,COX14,TSC22D1,C1orf43,SQSTM1,IFI27L2,ALKBH7,SMIM20,VAT1,IFI27L1,GCH1,FIS1,COX7A2L,GSTK1,RAB32,SMIM30,DUT,MPC1,TXNRD1,TIMM9,MRPL40,COA7,HS1BP3,NFU1,DEPP1,STING1,FKBP8,ECH1,NDUFB5,HINT2,TMEM70,PYCARD,COA1,CHCHD5,ACOT13,NENF,NDUFS7,SDHC,SURF1,AURKAIP1,C14orf119,SLC25A19,NDUFB10,MRPS14","UBB,C1orf43,RPS27A,ATP5PO,ARL2,COX7A2L,COX7A2,DNAJC15,MRPS2,GSTP1,MPV17,UQCRH,MRPL48,ETFA,COA3,UBA52,ATP5MG,BLOC1S2,TOMM22,ATP5MC3,NDUFAB1,SOD2,ATP5PF,GPX4,NDUFA12,ATP5PB,MGST3,PSMB6,LYRM4,MECR,ECH1,MRPS18C,GHITM,NDUFS7,COX7B,TMEM242,CHCHD2,FUNDC2,CREB3L4,DNLZ,MRPL53,NDUFA4,NDUFC2,HIGD2A,SLC25A26,HAGH,PPP1CC,MAFF,SLC25A22,FAM162A,C14orf119,ATPAF2,MRPL54,NDUFB10,MRPL21,TUFM,CMC1,TRIM32,TSPO,VDAC2,ATP5MC2,MRPS15,COX5A,JTB,MRPL35,MRPL50,CISD1,NDUFS3,COQ5,TMEM11,NDUFB7,AK2,NDUFB5,METTL9,NME3,MAPK3,LDHB","SOD2,CHCHD2,RPS3,BID,HSD17B10,C15orf48,GSTP1,UQCRFS1,ASS1,UBA52,SQOR,BBC3,TUSC2,PRELID1,MRPL54,MPST,LYN,SDHA,MRPL23,NDUFA11,NAXE,COX7A2L,RGS2,SMDT1,MRPL11,FADS1,FIBP,MRPS12,GSDMD,GADD45GIP1,MICOS13,AK2,MRPL36,SSBP1,RHOD,STING1,CAPN10,MRPL51,PTS,ISCA2,CISD3,COQ2,MRPL14,ISCA1,MRPL17,BIK,MRPS18A,MMAB,GFER,MRPL24","RPS3,RPS27A,LDHA,RACK1,C15orf48,IDH2,ATP5MC1,MPC1,BTD,PARK7,CYCS,PHB1,C1QBP,BCS1L,NDUFS8,STXBP1,FIBP,RIDA,RGS2,PCCB,GSDMD,MTCH2,MRPS16,FAM162A,CBR4,FIS1,MTO1,ACACA,ATAD3B,TIMM13,MSRA,MRPL19,HINT2,METTL9,BPHL,PSMB4,PYCR1,CHCHD1,MRS2,DNLZ,ARL2,TIMM10,STOML2,HMGN5,APOO,NR4A1,DCPS,SDHAF3,FLVCR1,DIP2A,PDHB,NDUFS3,SDHAF1,SLC25A11,DCAF8,NDUFAF3,PRELID2,DIABLO,MRPS26,NDUFV1,PLA2G4C,MRPL2,SFXN5",69,111,92,57,60,77,50,63,1550
Organelle Inner Membrane,GOCC_ORGANELLE_INNER_MEMBRANE,5.42E-08,6.29E-43,1.40E-18,0.049009684,0.000296768,4.76E-17,0.000502506,8.57E-06,"COA3,NDUFS6,CLU,ATP5MC2,IMMP1L,NDUFB2,UQCC2,NDUFB3,NDUFS4,NDUFA3,TMEM126A,COA8,MRPL54,NDUFB11,C15orf48,MRPS33,CHCHD10,MRPS6,NDUFB10,IMMP2L,GCAT,MRPL17,TMEM126B,MRPS34,EFHD1,MICU1,TIMM13,APOO,SCO2,UCP2,PDE2A","HIGD2A,MPC2,SLC25A5,C15orf48,UQCRH,ATP5MG,ATP5MC2,NDUFC2,NDUFA12,NDUFB6,COX7A2L,NDUFAF3,IFI6,NDUFA11,COX5A,ATP5PF,COX7A2,ATP5MC1,COX6A1,ATP5MF,RPS3,ATP5PO,COX7B,NDUFS4,NDUFB10,NME4,NDUFB11,MRPL24,COX8A,COX5B,COX6B1,SURF1,NDUFA5,MRPL22,NDUFAB1,COX6C,MRPL23,NDUFB9,DMAC1,MRPL48,NDUFB7,MRPL43,NUTF2,APOO,TIMM13,ATP5F1D,NDUFS7,NDUFA2,MRPL34,UQCC2,SDHC,MRPL53,TIMM17B,MRPL51,DNAJC19,MRPL36,MRPL14,TMEM126A,NDUFS8,MRPS21,MRPL57,TM7SF2,COX4I1,MRPL40,MRPL54,CHCHD6,NDUFS3,MRPS15,MRPL15,NDUFA3,MRPS14","C15orf48,COX7B,UQCC2,NDUFA3,MRPS21,COX5A,UQCR10,NDUFS4,MRPS18A,NDUFB6,TIMM17B,NDUFB2,MRPL24,SLC25A35,ATP5MC2,NDUFS8,MICOS13,NDUFA11,ALAS1,ETFDH,MRPL11,NDUFS7,MRPL54,NDUFAF6,MRPS35,FDXR,MRPL17,MRPL36,CHCHD1,TMEM126B,APOO,SUN2,NDUFA12,NDUFA4L2,MRPL48,SIRT1,NEMP1,ECSIT,NDUFA6,BCS1L,MRS2,SFXN4,UQCC3,NDUFB5,TMEM242,GCAT","RPS3,COX4I1,TIMM21,SLC25A26,MRPL18,COX7A2L,SLC41A3,FPGS,ITPR1,UQCC1,BDH1,NDUFA8,SLC25A3,MRPL40,NUTF2,DUSP18,COQ10A","COX4I1,EFHD1,IFI27,COX7A1,SQOR,ATP5PO,SMIM20,COX7A2L,MPC1,TIMM9,MRPL40,NDUFB5,TMEM70,COA1,NDUFS7,SDHC,SURF1,AURKAIP1,SLC25A19,ARL6IP6,NDUFB10,MRPS14","ATP5PO,COX7A2L,COX7A2,DNAJC15,MRPS2,MPV17,UQCRH,MRPL48,COA3,ATP5MG,ATP5MC3,NDUFAB1,ATP5PF,NDUFA12,ATP5PB,NUTF2,MRPS18C,GHITM,NDUFS7,COX7B,TMEM242,MRPL53,NDUFA4,NDUFC2,HIGD2A,SLC25A26,SLC25A22,ATPAF2,MRPL54,NDUFB10,MRPL21,ATP5MC2,MRPS15,COX5A,MRPL35,MRPL50,NDUFS3,COQ5,TMEM11,NDUFB7,SPAG4,NDUFB5,LDHB","RPS3,C15orf48,UQCRFS1,SQOR,MRPL54,LYN,SDHA,MRPL23,NDUFA11,COX7A2L,SMDT1,MRPL11,MRPS12,GADD45GIP1,MICOS13,MRPL36,MRPL51,COQ2,MRPL14,MRPL17,MRPS18A,MRPL24","RPS3,C15orf48,ATP5MC1,MPC1,CYCS,PHB1,BCS1L,NDUFS8,MRPS16,ATAD3B,TIMM13,MRPL19,CHCHD1,MRS2,TIMM10,STOML2,DPY19L4,APOO,FLVCR1,NDUFS3,SLC25A11,NDUFAF3,MRPS26,NDUFV1,MRPL2,SFXN5",31,71,46,17,22,43,22,26,500
Temporal Response to Progesterone,YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13,1.57E-05,2.54E-19,1.80E-05,0.003305737,0.003804484,1.87E-08,2.54E-05,0.024687408,"COA3,S100A10,ETFB,NDUFA3,TAGLN2,NDUFB11,POLR3K,PCCB,MRPS33,PSAT1,GSTM3,COMMD1,DYNLRB1,LAMTOR5,LAGE3","MIEN1,GPX4,PSME2,PARK7,PRDX2,ATP5PF,B9D1,GUK1,COX6A1,LAMTOR5,ATP5PO,COX7B,NEDD8,NDUFB11,LSM3,COX5B,LAGE3,NDUFA5,MRPL23,PAFAH1B3,ERG28,H2AZ1,NDUFA2,SNRPE,EMC6,TXNDC17,TMEM205,TOMM5,NDUFA3","COX7B,GPX4,NDUFA3,CALB1,UQCR10,LAMTOR5,MRPS18A,MICOS13,TXNDC17,COA6,CAT,MRPL11,B9D1,NDUFB5,COMMD1","PQBP1,RELB,IFNGR2,MRPL18,SF3B5,CYB5B,REEP5,UBA52,RBM3,SEM1,GUK1","GPX4,ATP5PO,DYNLRB1,VPS29,H2AZ1,ANAPC13,ECH1,ESD,NDUFB5,LSM3","H2AZ1,ATP5PO,DNAJC15,COA3,UBA52,ATP5PF,PEX7,GPX4,ECH1,UBE2M,TAF9,LAMTOR5,COX7B,CCZ1,POLR3K,VPS29,MRPL35,NDUFB5","CYBA,IFNGR2,UBA52,PSME2,LAMTOR5,TMEM205,MRPL23,MRPL11,MIEN1,FIBP,MICOS13,NEDD8,PQBP1,MRPS18A","PARK7,PPIB,ERG28,UBE2M,FIBP,PCCB,COMMD1,TMED3,POLR3K",15,29,15,11,10,18,14,9,164
Carbohydrate Derivative Metabolism,GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.001301233,9.50E-11,0.024602424,0.02372348,0.001270126,0.000188581,0.00053241,1.08E-05,"INS,PIGP,AKR7A2,KRTCAP2,NDUFS6,HS6ST2,DCXR,ATP5MC2,NDUFB2,NDUFB3,NDUFS4,PIPOX,NDUFA3,G6PC2,NDUFB11,SUCLG1,GAL3ST1,FBXO27,NDUFB10,B3GALT2,CST3,DHTKD1,CHST9,DNPH1,ABCC6,B3GNT2,ACSM3,BAX,LARGE2,ACSF2,NT5C3A,UCP2,B3GAT1,PDE2A,NME5","HINT1,MPC2,ATP5MG,ATP5MC2,NDUFC2,NDUFA12,NDUFB6,PARK7,NDUFA11,TMSB4X,ATP5PF,DNPH1,AK1,GUK1,ATP5MC1,APRT,ATP5MF,ATP5PO,NDUFS4,NDUFB10,NME4,ARL2,NDUFB11,FIS1,DCXR,NUDT14,KRTCAP2,NDUFA5,NDUFAB1,NDUFB9,BAX,NDUFB7,ITPA,ATP5F1D,NDUFS7,PMVK,AKR1B1,NDUFA2,ADA2,NME3,SDHC,NDUFS8,DUT,PIGP,ANTKMT,PRTFDC1,NDUFS3,NDUFA3,G6PD,HS3ST1","ADA2,NDUFA3,GCDH,DNPH1,NDUFS4,NDUFB6,NDUFB2,ATP5MC2,NDUFS8,AK5,AMDHD2,NDUFA11,NUDT14,NDUFS7,APRT,RNASEH2B,NUDT18,ST8SIA4,PDE4B,PPCDC,DPAGT1,FUT6,MAN1C1,NDUFA12,NDUFA6,MLST8,GALNT13,EXT1,UQCC3,NDUFB5,FUT4","ALG5,OGT,PDK4,OSTC,DGUOK,HINT1,RPIA,CLN6,NT5C,MFN1,UBE2J1,COASY,OARD1,ATP6V0C,CANT1,B4GALT5,ALG10,NDUFA8,PIGH,PIGV,H6PD,MVD,CST3,HPSE,UGCG,GUK1,B3GAT3,PGM2,CTSL,PIGG","ITM2B,INS,ARL2,UGCG,TMSB4X,TMEM59,KRTCAP2,AKR1B1,PDE1A,ATP5PO,GUCY1A1,ALDH1A1,TNFAIP6,HEXB,PIGP,AKR1C3,FIS1,GUCY1B1,HINT1,DUT,TNIP1,HEXA,NDUFB5,PDE5A,CST3,DERL3,DNPH1,CTNS,NDUFS7,SLC2A6,SDHC,CHST2,NDUFB10","HINT1,TMSB4X,INS,ATP5PO,ARL2,ERH,KRTCAP2,ATP5MG,G6PC3,ATP5MC3,NDUFAB1,ATP5PF,NDUFA12,ATP5PB,RAB1B,DAD1,PGLS,NDUFS7,NDUFC2,NUDT14,NUDT5,RAB1A,CHST14,NDUFB10,TSPO,HEXB,ATP5MC2,IMPDH2,CHST12,NDUFS3,NDUFB7,AK2,GLB1,NDUFB5,PIGC,NME3","HINT1,VNN1,CD44,KRTCAP2,TNIP1,NME2,TALDO1,A4GALT,SDHA,GCNT3,DNPH1,NDUFA11,NUDT14,NAGPA,ST3GAL4,AKR1A1,AK2,GFUS,TGFB1,CMPK1,SLC2A6,PTX3,AK1,ALG2,FUT3,TMEM106A,ATP6V0C,GMDS,NUDT16,SMUG1,HYAL1,FUT2,CHST2,B3GAT3,DOLK","LDHA,ALDH1A1,ATP5MC1,PARK7,NDUFS8,HINT1,TYMP,APRT,SAMHD1,NUDT5,BPGM,FBXO2,DDOST,CRYL1,RBKS,TKFC,CBR4,TECR,FIS1,ACACA,EXT2,PRKAG2,ARL2,STOML2,DPY19L4,OSTC,EXTL2,ALG5,ST6GAL1,DIP2A,HYAL2,PDHB,PGM1,NDUFS3,KRTCAP2,ITPA,MOGS,ALG9,NDUFV1,ADSL",35,50,31,30,33,36,35,40,1045
Amino Acid Metabolism,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.003201874,1.78E-13,8.00E-07,4.78E-13,0.002182591,0.000354108,1.57E-20,1.55E-27,"PCBD1,TSTD1,PIPOX,PPM1K,HGD,GAMT,ADI1,LARS1,PSAT1,DHTKD1,GCAT,FTCD,GCSH,RIDA,ALDH4A1,PSTK,TST","RPL19,RPL10A,PCBD1,PSME2,RPS7,RPL23A,PSME1,RPS6,RPS5,RPL8,RPS9,RPS3,GAMT,RPL29,RPS2,RPL6,RPS3A,RPS4X,RPL27A,HSD17B10,RPS27L,RPL27,TSTD1,RPS23,RIDA,RPS15A,RPL10,ALDH7A1,RPL32,RPS4Y1,TXN2,GSTZ1","RPS6,RPS13,RPS19,RPS27L,RPS2,PCBD1,GCDH,RPL13A,TSTD1,HNMT,RPL7,KYAT1,BCKDK,AHCY,HIBCH,CRYM,RPL39L,IVD,SUOX,PSME1,EEF1E1,DDO,GPT2,GCAT","RPL8,RPSA,RPL15,RPS4X,RPS3,RPLP0,RPS2,RPL32,RPS14,RPL3,RPS27A,RPL19,RPL18A,RPS13,RPS9,FAU,RPL11,PSMD11,RPL7A,RPS5,RPL18,RPL6,RPS19,RPL4,RPL10A,RPS7,RPS15,RPS6,UBA52,RPS23,RPS3A,SEM1","RPS4X,RPL3,RPL15,PXMP2,RPS9,PSME1,SQOR,NQO1,RPS27L,HNMT,TXNRD1,RPL10,RPS6,RPL10A,PSMB10,AGXT","RPS9,RPL15,RPS4X,RPS27A,OAZ1,PSMB3,PSMA1,UBA52,RPL31,RPS27L,RPL3,PSMB6,ASRGL1,RPL30,PSMD11,RPL26L1,PSMD4,PSMD8","RPS9,RPL15,RPL10A,RPS4X,RPS14,PSME1,RPL19,RPL29,RPL3,RPL18A,RPS3,RPS23,PSMB10,HSD17B10,RPL18,ASS1,UBA52,RPS3A,RPS16,SQOR,PSME2,RPL6,MPST,RPS6,RPL11,NNMT,OAZ1,RPS19,RPL14,ASRGL1,APIP,RPS15,PSTK,RPS8,RPL28,SDSL,PAOX,PXMP2,PCBD1,IL4I1,FAU","RPS9,RPS3,RPS5,RPL7A,RPS6,RPL8,RPL12,RPL18A,RPL19,RPL15,RPS2,RPL14,RPS27A,RPL18,RPS23,RPL11,RPL3,RPL29,RPS7,RPL26,RPL10A,OAZ1,RPS14,RPS19,RPS24,RPS4X,RPS3A,RPS16,RPL32,RPSA,RPL9,RPL27A,RPL7,RPS11,RPL13A,PSMB3,HNMT,PSMA7,RIDA,AGXT,PSMA4,PSMA1,RPL22L1,PSMB4,PYCR1,ASL,AHCY,PSMB10",17,32,24,32,16,18,41,48,352
Regulation of Gene Expression in Beta Cells,REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,1.05E-06,0.971908837,1,1,0.201823351,0.241127813,1,0.892663585,"INS,IAPP,SLC2A2,RFX6,HNF1A,FOXA3,HNF4A,HNF4G",IAPP,,,"INS,IAPP","IAPP,INS",,HNF1A,8,1,0,0,2,2,0,1,21
Regulation of Beta Cell Development,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,7.81E-05,1,1,1,0.440120803,0.504070395,1,1,"INS,IAPP,SLC2A2,RFX6,HNF1A,FOXA3,HNF4A,HNF4G",IAPP,,,"INS,IAPP","IAPP,INS",,HNF1A,8,1,0,0,2,2,0,1,42
Islet HNF1A Targets (Downregulated),SERVITJA_ISLET_HNF1A_TARGETS_DN,2.06E-08,0.225110612,1,1,1,0.647609353,0.394869669,1,"TTR,PPP1R1A,TMED6,CLTRN,GOLT1A,SLC2A2,KIF12,PCSK9,G6PC2,FFAR2,RNF186,FOXA3,WNK4,PROC,HNF4A,TMPRSS4","TM4SF4,TTR,PPP1R1A,TMED6,NPTX2",KIF12,"HOPX,TRPM2",SLC40A1,"TTR,PPP1R1A,TM4SF4","CCL28,PPP1R1A,GOLT1A,SEMA4A",,16,5,1,2,1,3,4,0,107
Insulin Secretion,GOBP_INSULIN_SECRETION,2.11E-05,0.245203067,0.656107923,0.958189158,1,0.808374185,0.834738934,0.479501245,"CLTRN,RBP4,CHGA,HADH,SLC2A2,UQCC2,G6PC2,RFX6,KCNA5,HNF1A,FFAR2,ABCC8,HNF4A,RAB3A,ABAT,UCP2","GCG,MPC2,PARK7,UQCC2,SRI,DYNLL1,ENSA","CRH,HADH,GCG,UQCC2,ABAT,KCNJ11","CARTPT,ITPR1,SYTL4,GNAZ",IL6,"GCG,RIMS2,TCIRG1,SLC25A22","FAM3B,GCG,CAPN10,RBP4","RPH3AL,PARK7,NR0B2,HNF1A,RFX3,EIPR1",16,7,6,4,1,4,4,6,194
Response to Metal Ions,REACTOME_RESPONSE_TO_METAL_IONS,2.87E-05,0.78383311,0.073773341,1,1,1,0.618668276,1,"MT1X,MT1F,MT1E,MT2A,MT1G,MT1M",MT1F,"MT1F,MT3,SNCB",,,,MT1M,,6,1,3,0,0,0,1,0,14
